지점명,일시,기온(°C),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),전운량(10분위),중하층운량(10분위),시정(10m),지면온도(°C)
백령도,2024-01-02 09:00,3.2,2.6,230.0,67.0,5.2,-2.3,1018.2,1022.7,9.0,9.0,3218.0,1.5
백령도,2024-01-02 10:00,4.2,3.2,250.0,61.0,5.0,-2.6,1018.3,1022.8,9.0,9.0,3209.0,5.3
백령도,2024-01-02 11:00,4.5,4.2,290.0,56.0,4.7,-3.5,1018.3,1022.8,8.0,8.0,3166.0,7.0
백령도,2024-01-02 12:00,4.3,3.6,270.0,61.0,5.1,-2.5,1017.6,1022.1,9.0,9.0,2391.0,5.7
백령도,2024-01-02 13:00,4.3,3.0,290.0,62.0,5.2,-2.3,1017.2,1021.7,9.0,9.0,1995.0,6.0
백령도,2024-01-02 14:00,4.7,3.4,270.0,61.0,5.2,-2.1,1016.6,1021.1,9.0,9.0,1739.0,7.4
백령도,2024-01-02 15:00,4.1,3.2,270.0,64.0,5.2,-2.1,1016.2,1020.7,9.0,9.0,1516.0,4.5
백령도,2024-01-02 16:00,3.7,2.4,320.0,78.0,6.2,0.2,1016.1,1020.6,9.0,9.0,1050.0,3.5
백령도,2024-01-02 17:00,3.7,1.7,320.0,76.0,6.1,-0.1,1016.1,1020.6,9.0,9.0,1173.0,2.7
백령도,2024-01-02 18:00,3.5,0.5,200.0,78.0,6.1,0.0,1016.3,1020.8,9.0,9.0,1000.0,2.5
백령도,2024-01-02 19:00,3.4,0.1,0.0,81.0,6.3,0.4,1016.2,1020.7,10.0,10.0,733.0,2.2
백령도,2024-01-02 20:00,3.3,1.0,90.0,83.0,6.4,0.6,1016.4,1020.9,10.0,10.0,1031.0,2.0
백령도,2024-01-02 21:00,3.3,0.7,110.0,82.0,6.3,0.5,1016.4,1020.9,9.0,9.0,1114.0,2.0
백령도,2024-01-02 22:00,3.4,0.9,70.0,83.0,6.4,0.7,1016.1,1020.6,9.0,9.0,1087.0,1.9
백령도,2024-01-02 23:00,3.3,0.3,0.0,81.0,6.2,0.3,1015.7,1020.2,9.0,9.0,987.0,2.0
백령도,2024-01-03 00:00,3.3,1.0,110.0,80.0,6.2,0.1,1015.4,1019.9,9.0,9.0,941.0,2.0
백령도,2024-01-03 01:00,4.0,2.2,290.0,72.0,5.8,-0.6,1015.1,1019.6,10.0,8.0,532.0,2.0
백령도,2024-01-03 02:00,3.6,1.4,110.0,84.0,6.6,1.1,1014.7,1019.2,9.0,9.0,824.0,2.0
백령도,2024-01-03 03:00,3.3,0.5,90.0,85.0,6.6,1.0,1014.5,1019.0,7.0,7.0,734.0,2.0
백령도,2024-01-03 04:00,3.4,1.1,340.0,85.0,6.6,1.1,1014.1,1018.6,9.0,9.0,722.0,2.0
백령도,2024-01-03 05:00,4.3,3.1,290.0,69.0,5.8,-0.8,1013.5,1018.0,9.0,9.0,527.0,2.0
백령도,2024-01-03 06:00,4.5,3.6,290.0,64.0,5.4,-1.7,1013.2,1017.7,9.0,9.0,630.0,1.8
백령도,2024-01-03 07:00,3.8,3.6,290.0,73.0,5.8,-0.6,1013.4,1017.9,9.0,9.0,572.0,1.2
백령도,2024-01-03 08:00,3.6,4.7,290.0,66.0,5.2,-2.1,1013.7,1018.2,8.0,8.0,614.0,0.4
백령도,2024-01-03 09:00,3.8,3.0,320.0,63.0,5.0,-2.6,1013.9,1018.4,3.0,3.0,834.0,1.5
백령도,2024-01-03 10:00,4.7,2.9,320.0,61.0,5.2,-2.1,1013.9,1018.4,3.0,3.0,940.0,5.8
백령도,2024-01-03 11:00,4.0,3.1,360.0,79.0,6.4,0.6,1014.4,1018.9,9.0,9.0,751.0,7.1
백령도,2024-01-03 12:00,2.6,3.4,360.0,81.0,6.0,-0.3,1014.7,1019.2,9.0,9.0,736.0,6.1
백령도,2024-01-03 13:00,3.5,5.6,360.0,70.0,5.5,-1.4,1014.2,1018.7,3.0,3.0,984.0,7.1
백령도,2024-01-03 14:00,3.1,6.1,360.0,64.0,4.9,-3.0,1014.3,1018.8,7.0,7.0,1236.0,5.1
백령도,2024-01-03 15:00,3.2,5.4,360.0,62.0,4.8,-3.3,1014.6,1019.1,7.0,7.0,1411.0,5.1
백령도,2024-01-03 16:00,3.2,5.7,340.0,58.0,4.5,-4.2,1015.4,1019.9,6.0,6.0,1587.0,3.6
백령도,2024-01-03 17:00,2.9,4.4,340.0,60.0,4.5,-4.1,1015.7,1020.2,3.0,3.0,1515.0,1.3
백령도,2024-01-03 18:00,2.5,4.3,320.0,61.0,4.5,-4.2,1016.5,1021.0,3.0,3.0,1602.0,-0.7
백령도,2024-01-03 19:00,2.4,4.2,320.0,64.0,4.6,-3.7,1016.9,1021.4,0.0,0.0,1592.0,-0.3
백령도,2024-01-03 20:00,2.4,4.3,320.0,65.0,4.7,-3.5,1016.9,1021.4,0.0,0.0,1482.0,-0.4
백령도,2024-01-03 21:00,2.3,4.6,320.0,66.0,4.8,-3.4,1017.0,1021.5,2.0,2.0,1100.0,-0.7
백령도,2024-01-03 22:00,2.2,2.8,290.0,66.0,4.7,-3.5,1017.3,1021.8,6.0,6.0,1215.0,-0.7
백령도,2024-01-03 23:00,1.9,2.2,270.0,67.0,4.7,-3.5,1017.3,1021.8,6.0,6.0,1081.0,-1.0
백령도,2024-01-04 00:00,2.1,2.0,270.0,66.0,4.7,-3.6,1017.2,1021.7,8.0,8.0,1057.0,-0.7
백령도,2024-01-04 01:00,2.0,2.6,270.0,63.0,4.4,-4.3,1016.9,1021.4,9.0,8.0,1076.0,-1.2
백령도,2024-01-04 02:00,1.8,1.6,250.0,65.0,4.5,-4.0,1016.8,1021.3,7.0,7.0,1012.0,-1.8
백령도,2024-01-04 03:00,1.5,2.0,270.0,68.0,4.6,-3.7,1016.6,1021.1,4.0,4.0,968.0,-2.8
백령도,2024-01-04 04:00,1.6,1.4,230.0,69.0,4.8,-3.4,1016.7,1021.2,7.0,7.0,834.0,-1.8
백령도,2024-01-04 05:00,1.4,1.4,250.0,71.0,4.8,-3.2,1016.4,1020.9,6.0,6.0,836.0,-1.5
백령도,2024-01-04 06:00,2.5,2.5,250.0,66.0,4.8,-3.2,1016.5,1021.0,7.0,7.0,978.0,-1.3
백령도,2024-01-04 07:00,2.2,1.8,200.0,69.0,4.9,-2.9,1016.2,1020.7,6.0,6.0,1621.0,-2.3
백령도,2024-01-04 08:00,2.6,1.9,230.0,69.0,5.1,-2.5,1016.7,1021.2,7.0,7.0,3146.0,-1.3
백령도,2024-01-04 09:00,3.3,3.5,200.0,67.0,5.2,-2.2,1016.8,1021.3,4.0,4.0,2855.0,-0.4
백령도,2024-01-04 10:00,4.1,3.8,200.0,62.0,5.1,-2.5,1017.0,1021.5,5.0,5.0,1709.0,2.7
백령도,2024-01-04 11:00,5.4,5.4,200.0,61.0,5.5,-1.5,1016.6,1021.1,5.0,5.0,1063.0,7.2
백령도,2024-01-04 12:00,6.5,4.9,200.0,45.0,4.3,-4.6,1016.1,1020.6,2.0,2.0,1858.0,12.8
백령도,2024-01-04 13:00,6.7,6.2,200.0,55.0,5.4,-1.7,1015.0,1019.4,3.0,3.0,1044.0,12.6
백령도,2024-01-04 14:00,7.0,6.7,200.0,54.0,5.4,-1.6,1013.8,1018.2,3.0,3.0,1313.0,12.4
백령도,2024-01-04 15:00,7.0,6.6,200.0,58.0,5.8,-0.7,1013.0,1017.4,8.0,8.0,744.0,8.6
백령도,2024-01-04 16:00,6.9,6.0,200.0,60.0,6.0,-0.3,1013.0,1017.4,7.0,7.0,579.0,6.7
백령도,2024-01-04 17:00,6.6,6.1,200.0,62.0,6.1,-0.1,1012.6,1017.0,5.0,5.0,615.0,4.4
백령도,2024-01-04 18:00,6.4,6.6,200.0,65.0,6.2,0.2,1012.7,1017.1,3.0,3.0,674.0,3.0
백령도,2024-01-04 19:00,6.6,6.7,200.0,65.0,6.3,0.4,1012.4,1016.8,0.0,0.0,820.0,2.7
백령도,2024-01-04 20:00,6.5,4.1,200.0,69.0,6.7,1.2,1012.6,1017.0,0.0,0.0,965.0,2.3
백령도,2024-01-04 21:00,6.9,5.5,230.0,66.0,6.5,0.9,1012.4,1016.8,0.0,0.0,1179.0,2.6
백령도,2024-01-04 22:00,7.1,5.0,250.0,68.0,6.8,1.5,1012.7,1017.1,0.0,0.0,1145.0,2.9
백령도,2024-01-04 23:00,7.1,4.6,250.0,70.0,7.0,1.9,1012.5,1016.9,4.0,3.0,1095.0,3.3
백령도,2024-01-05 00:00,6.5,6.1,250.0,77.0,7.4,2.7,1012.4,1016.8,6.0,3.0,703.0,3.4
백령도,2024-01-05 01:00,6.5,5.8,250.0,83.0,8.0,3.8,1012.7,1017.1,6.0,6.0,452.0,3.6
백령도,2024-01-05 02:00,6.3,5.0,250.0,79.0,7.5,2.9,1012.5,1016.9,4.0,2.0,471.0,2.6
백령도,2024-01-05 03:00,6.0,4.3,270.0,78.0,7.3,2.4,1012.9,1017.4,8.0,8.0,455.0,2.2
백령도,2024-01-05 04:00,5.7,3.5,290.0,76.0,6.9,1.7,1013.0,1017.5,8.0,8.0,438.0,2.1
백령도,2024-01-05 05:00,5.9,5.1,320.0,76.0,7.0,1.9,1013.3,1017.8,9.0,9.0,377.0,2.9
백령도,2024-01-05 06:00,5.5,5.6,320.0,72.0,6.5,0.8,1013.6,1018.1,9.0,9.0,373.0,2.7
백령도,2024-01-05 07:00,4.8,3.6,340.0,73.0,6.2,0.3,1014.5,1019.0,8.0,8.0,324.0,1.7
백령도,2024-01-05 08:00,4.8,5.5,340.0,73.0,6.2,0.3,1015.1,1019.6,9.0,9.0,364.0,2.5
백령도,2024-01-05 09:00,4.0,6.3,360.0,77.0,6.2,0.3,1015.8,1020.3,8.0,8.0,419.0,2.5
백령도,2024-01-05 10:00,4.2,5.1,360.0,64.0,5.3,-2.0,1016.7,1021.2,4.0,4.0,821.0,5.9
백령도,2024-01-05 11:00,4.4,4.7,360.0,62.0,5.2,-2.2,1017.4,1021.9,1.0,1.0,907.0,9.8
백령도,2024-01-05 12:00,4.7,4.6,360.0,60.0,5.1,-2.4,1016.8,1021.3,0.0,0.0,1171.0,12.7
백령도,2024-01-05 13:00,5.1,4.5,360.0,54.0,4.8,-3.4,1015.9,1020.4,0.0,0.0,1821.0,14.4
백령도,2024-01-05 14:00,4.7,5.0,360.0,54.0,4.6,-3.8,1015.5,1020.0,0.0,0.0,2281.0,12.8
백령도,2024-01-05 15:00,4.0,5.3,340.0,56.0,4.5,-4.0,1015.5,1020.0,0.0,0.0,3693.0,8.6
백령도,2024-01-05 16:00,3.4,5.3,340.0,59.0,4.6,-3.8,1015.5,1020.0,0.0,0.0,2933.0,4.1
백령도,2024-01-05 17:00,2.6,5.3,340.0,61.0,4.5,-4.1,1015.8,1020.3,0.0,0.0,4005.0,1.2
백령도,2024-01-05 18:00,1.8,5.1,340.0,64.0,4.5,-4.2,1016.4,1020.9,0.0,0.0,4933.0,-1.0
백령도,2024-01-05 19:00,1.6,4.0,340.0,67.0,4.6,-3.8,1016.7,1021.2,2.0,0.0,4806.0,-1.7
백령도,2024-01-05 20:00,1.9,5.2,340.0,63.0,4.4,-4.4,1016.8,1021.3,0.0,0.0,4933.0,-1.7
백령도,2024-01-05 21:00,2.0,6.1,340.0,56.0,4.0,-5.8,1017.0,1021.5,0.0,0.0,4991.0,-1.4
백령도,2024-01-05 22:00,2.1,6.2,340.0,54.0,3.8,-6.2,1017.2,1021.7,1.0,0.0,4998.0,-0.3
백령도,2024-01-05 23:00,2.1,5.3,340.0,53.0,3.8,-6.5,1017.3,1021.8,1.0,0.0,5000.0,-1.5
백령도,2024-01-06 00:00,2.2,5.8,340.0,52.0,3.7,-6.6,1017.3,1021.8,0.0,0.0,5000.0,-1.4
백령도,2024-01-06 01:00,2.1,3.8,340.0,55.0,3.9,-6.0,1017.4,1021.9,0.0,0.0,4989.0,-2.1
백령도,2024-01-06 02:00,2.0,3.7,320.0,59.0,4.2,-5.1,1017.5,1022.0,0.0,0.0,4967.0,-2.4
백령도,2024-01-06 03:00,2.6,5.5,320.0,50.0,3.7,-6.8,1017.6,1022.1,0.0,0.0,4999.0,-1.6
백령도,2024-01-06 04:00,2.7,6.0,340.0,51.0,3.8,-6.4,1017.6,1022.1,1.0,1.0,4777.0,-1.4
백령도,2024-01-06 05:00,2.4,4.6,340.0,56.0,4.1,-5.5,1017.3,1021.8,2.0,2.0,4054.0,-1.7
백령도,2024-01-06 06:00,2.3,5.3,340.0,59.0,4.2,-4.9,1017.4,1021.9,1.0,1.0,3222.0,-1.7
백령도,2024-01-06 07:00,2.3,5.0,320.0,59.0,4.2,-4.9,1017.6,1022.1,3.0,3.0,2887.0,-1.4
백령도,2024-01-06 08:00,2.3,4.4,340.0,61.0,4.4,-4.4,1017.9,1022.4,3.0,3.0,2781.0,-1.2
백령도,2024-01-06 09:00,2.7,2.9,320.0,60.0,4.4,-4.3,1018.2,1022.7,6.0,6.0,2841.0,-0.2
백령도,2024-01-06 10:00,3.4,2.9,340.0,58.0,4.5,-4.0,1018.5,1023.0,7.0,7.0,3396.0,4.6
백령도,2024-01-06 11:00,3.8,3.7,320.0,54.0,4.3,-4.6,1018.5,1023.0,8.0,8.0,3124.0,9.1
백령도,2024-01-06 12:00,4.3,1.8,320.0,54.0,4.5,-4.2,1017.8,1022.3,9.0,9.0,3414.0,11.2
백령도,2024-01-06 13:00,4.5,2.2,270.0,52.0,4.4,-4.5,1017.0,1021.5,8.0,8.0,3415.0,9.6
백령도,2024-01-06 14:00,4.3,7.1,290.0,53.0,4.4,-4.4,1015.8,1020.3,9.0,9.0,3301.0,5.5
백령도,2024-01-06 15:00,1.8,8.6,250.0,88.0,6.1,0.0,1015.9,1020.4,9.0,9.0,1138.0,2.4
백령도,2024-01-06 16:00,3.5,6.7,290.0,73.0,5.8,-0.8,1016.0,1020.5,9.0,9.0,1362.0,3.4
백령도,2024-01-06 17:00,3.1,5.7,360.0,73.0,5.6,-1.2,1016.5,1021.0,6.0,6.0,2051.0,2.3
백령도,2024-01-06 18:00,0.2,9.4,340.0,89.0,5.5,-1.4,1017.5,1022.1,9.0,9.0,179.0,-0.2
백령도,2024-01-06 19:00,1.1,6.8,360.0,68.0,4.5,-4.1,1017.9,1022.5,9.0,9.0,3119.0,-0.5
백령도,2024-01-06 20:00,1.4,7.0,360.0,60.0,4.1,-5.5,1018.1,1022.7,7.0,2.0,3954.0,-1.2
백령도,2024-01-06 21:00,1.4,6.5,340.0,55.0,3.7,-6.6,1018.7,1023.3,7.0,7.0,3672.0,-0.7
백령도,2024-01-06 22:00,1.1,6.6,320.0,45.0,3.0,-9.5,1019.1,1023.7,7.0,5.0,4336.0,-1.5
백령도,2024-01-06 23:00,1.0,8.7,340.0,64.0,4.2,-5.0,1019.4,1024.0,9.0,9.0,1831.0,-0.7
백령도,2024-01-07 00:00,0.2,9.1,340.0,64.0,4.0,-5.8,1019.9,1024.5,6.0,6.0,1999.0,-1.3
백령도,2024-01-07 01:00,-0.4,10.8,340.0,58.0,3.5,-7.6,1020.2,1024.8,7.0,7.0,2911.0,-2.1
백령도,2024-01-07 02:00,-0.9,8.6,360.0,54.0,3.1,-9.0,1020.5,1025.1,0.0,0.0,3498.0,-3.4
백령도,2024-01-07 03:00,-0.8,9.6,360.0,48.0,2.8,-10.4,1021.1,1025.7,3.0,0.0,4343.0,-3.6
백령도,2024-01-07 04:00,-1.2,8.5,360.0,52.0,2.9,-9.8,1021.2,1025.8,0.0,0.0,4405.0,-3.8
백령도,2024-01-07 05:00,-1.5,9.1,340.0,54.0,3.0,-9.6,1021.4,1026.0,0.0,0.0,4261.0,-3.3
백령도,2024-01-07 06:00,-1.6,10.8,340.0,51.0,2.8,-10.4,1021.3,1025.9,8.0,8.0,4128.0,-3.0
백령도,2024-01-07 07:00,-1.6,8.2,340.0,53.0,2.9,-9.9,1022.0,1026.6,8.0,8.0,3995.0,-3.0
백령도,2024-01-07 08:00,-2.4,9.0,360.0,60.0,3.1,-9.1,1022.7,1027.3,9.0,9.0,3604.0,-3.1
백령도,2024-01-07 09:00,-2.9,7.7,360.0,59.0,2.9,-9.8,1023.3,1028.0,9.0,9.0,3877.0,-2.8
백령도,2024-01-07 10:00,-3.4,8.1,360.0,63.0,3.0,-9.4,1024.0,1028.7,9.0,9.0,2404.0,-1.6
백령도,2024-01-07 11:00,-3.2,9.2,340.0,59.0,2.9,-10.0,1024.2,1028.9,9.0,9.0,4704.0,-0.2
백령도,2024-01-07 12:00,-3.1,9.0,340.0,54.0,2.6,-11.1,1024.3,1029.0,8.0,8.0,4590.0,0.7
백령도,2024-01-07 13:00,-2.9,9.2,360.0,51.0,2.5,-11.6,1024.0,1028.7,6.0,6.0,4843.0,5.2
백령도,2024-01-07 14:00,-3.3,8.9,340.0,51.0,2.4,-12.0,1023.9,1028.6,7.0,7.0,4202.0,3.6
백령도,2024-01-07 15:00,-3.8,8.8,360.0,62.0,2.9,-10.0,1024.0,1028.7,7.0,7.0,4719.0,0.4
백령도,2024-01-07 16:00,-4.2,9.5,340.0,57.0,2.6,-11.4,1023.9,1028.6,8.0,8.0,4665.0,-2.4
백령도,2024-01-07 17:00,-4.2,9.1,340.0,58.0,2.6,-11.2,1024.0,1028.7,6.0,6.0,4719.0,-4.5
백령도,2024-01-07 18:00,-4.2,8.6,360.0,63.0,2.8,-10.2,1023.9,1028.6,8.0,8.0,4666.0,-5.5
백령도,2024-01-07 19:00,-4.0,7.7,360.0,60.0,2.7,-10.6,1024.7,1029.4,1.0,1.0,4675.0,-5.2
백령도,2024-01-07 20:00,-4.0,6.8,360.0,57.0,2.6,-11.2,1024.8,1029.5,0.0,0.0,4781.0,-5.2
백령도,2024-01-07 21:00,-4.0,5.5,360.0,57.0,2.6,-11.2,1024.8,1029.5,6.0,6.0,4973.0,-5.9
백령도,2024-01-07 22:00,-4.0,5.0,360.0,55.0,2.5,-11.7,1024.8,1029.5,0.0,0.0,4917.0,-6.0
백령도,2024-01-07 23:00,-4.3,3.9,360.0,53.0,2.4,-12.4,1024.8,1029.5,0.0,0.0,4928.0,-7.0
백령도,2024-01-08 00:00,-4.2,4.3,360.0,54.0,2.4,-12.1,1024.5,1029.2,0.0,0.0,4978.0,-7.1
백령도,2024-01-08 01:00,-4.7,2.2,20.0,56.0,2.4,-12.1,1024.6,1029.3,0.0,0.0,4908.0,-8.0
백령도,2024-01-08 02:00,-5.5,2.1,90.0,62.0,2.5,-11.6,1024.3,1029.0,0.0,0.0,4988.0,-8.9
백령도,2024-01-08 03:00,-5.4,1.4,70.0,64.0,2.6,-11.1,1024.2,1028.9,0.0,0.0,4914.0,-9.4
백령도,2024-01-08 04:00,-5.3,1.5,70.0,67.0,2.8,-10.4,1023.4,1028.1,0.0,0.0,4887.0,-9.2
백령도,2024-01-08 05:00,-5.6,1.6,90.0,71.0,2.9,-10.0,1023.2,1027.9,0.0,0.0,4816.0,-9.7
백령도,2024-01-08 06:00,-5.1,1.1,140.0,72.0,3.0,-9.3,1022.8,1027.5,0.0,0.0,4310.0,-10.2
백령도,2024-01-08 07:00,-4.7,1.4,140.0,72.0,3.1,-8.9,1022.8,1027.5,0.0,0.0,4147.0,-9.9
백령도,2024-01-08 08:00,-4.2,1.3,140.0,71.0,3.2,-8.6,1022.8,1027.5,4.0,0.0,4680.0,-9.6
백령도,2024-01-08 09:00,-3.3,1.6,140.0,75.0,3.6,-7.1,1022.8,1027.5,6.0,6.0,3968.0,-3.4
백령도,2024-01-08 10:00,-2.8,3.4,140.0,74.0,3.7,-6.7,1023.0,1027.6,7.0,7.0,3882.0,-0.3
백령도,2024-01-08 11:00,-2.4,3.6,140.0,76.0,3.9,-6.0,1022.7,1027.3,8.0,8.0,2869.0,0.2
백령도,2024-01-08 12:00,-1.3,3.9,140.0,76.0,4.2,-4.9,1021.9,1026.5,8.0,8.0,3798.0,5.1
백령도,2024-01-08 13:00,-0.7,4.6,140.0,75.0,4.4,-4.5,1021.0,1025.6,8.0,8.0,3779.0,5.0
백령도,2024-01-08 14:00,1.3,4.1,200.0,52.0,3.5,-7.4,1019.8,1024.4,7.0,7.0,4870.0,5.4
백령도,2024-01-08 15:00,1.9,4.1,230.0,44.0,3.1,-9.0,1019.3,1023.8,7.0,7.0,4593.0,8.5
백령도,2024-01-08 16:00,1.5,2.8,250.0,50.0,3.4,-7.8,1019.1,1023.7,8.0,8.0,4309.0,3.2
백령도,2024-01-08 17:00,1.4,3.0,230.0,52.0,3.5,-7.4,1018.8,1023.4,7.0,7.0,4323.0,0.5
백령도,2024-01-08 18:00,0.9,2.3,250.0,55.0,3.6,-7.1,1018.8,1023.4,6.0,6.0,4220.0,-0.7
백령도,2024-01-08 19:00,1.7,2.4,230.0,57.0,3.9,-5.9,1018.4,1022.9,6.0,6.0,4047.0,-0.9
백령도,2024-01-08 20:00,2.1,1.7,230.0,60.0,4.3,-4.8,1018.2,1022.7,9.0,8.0,3797.0,-0.4
백령도,2024-01-08 21:00,2.7,2.7,230.0,64.0,4.8,-3.4,1017.7,1022.2,9.0,9.0,4334.0,0.0
백령도,2024-01-08 22:00,2.8,4.2,200.0,69.0,5.2,-2.3,1017.6,1022.1,10.0,8.0,4449.0,0.8
백령도,2024-01-08 23:00,3.7,3.7,230.0,71.0,5.7,-1.0,1017.2,1021.7,10.0,8.0,3950.0,1.4
백령도,2024-01-09 00:00,3.6,2.0,230.0,78.0,6.2,0.1,1017.0,1021.5,10.0,8.0,2826.0,0.8
백령도,2024-01-09 01:00,2.1,2.3,70.0,90.0,6.4,0.6,1016.4,1020.9,10.0,8.0,1413.0,-0.4
백령도,2024-01-09 02:00,1.1,3.9,90.0,94.0,6.2,0.2,1016.2,1020.8,9.0,9.0,880.0,-0.5
백령도,2024-01-09 03:00,1.0,3.7,90.0,93.0,6.1,0.0,1016.0,1020.6,9.0,9.0,1199.0,-0.2
백령도,2024-01-09 04:00,0.9,3.3,90.0,93.0,6.1,-0.1,1015.6,1020.2,9.0,9.0,1123.0,-0.2
백령도,2024-01-09 05:00,0.9,3.0,90.0,94.0,6.1,0.0,1014.9,1019.4,9.0,9.0,860.0,-0.2
백령도,2024-01-09 06:00,1.1,3.1,90.0,95.0,6.2,0.3,1014.6,1019.1,9.0,9.0,734.0,-0.5
백령도,2024-01-09 07:00,1.3,2.3,110.0,94.0,6.3,0.4,1014.7,1019.2,8.0,8.0,849.0,-0.2
백령도,2024-01-09 08:00,1.4,2.0,110.0,94.0,6.3,0.5,1014.9,1019.4,9.0,9.0,818.0,-0.2
백령도,2024-01-09 09:00,1.6,2.5,90.0,93.0,6.3,0.5,1015.2,1019.7,10.0,7.0,764.0,0.0
백령도,2024-01-09 10:00,1.8,2.2,110.0,93.0,6.4,0.7,1015.3,1019.8,10.0,7.0,739.0,1.3
백령도,2024-01-09 11:00,2.4,2.3,90.0,91.0,6.6,1.0,1015.4,1019.9,9.0,9.0,917.0,3.2
백령도,2024-01-09 12:00,2.3,2.6,70.0,90.0,6.5,0.8,1014.7,1019.2,10.0,8.0,1032.0,2.5
