瘤痢疙,老矫,扁柯(∑C),浅加(m/s),浅氢(16规困),嚼档(%),刘扁拘(hPa),捞浇痢柯档(∑C),泅瘤扁拘(hPa),秦搁扁拘(hPa),傈款樊(10盒困),吝窍摸款樊(10盒困),矫沥(10m),瘤搁柯档(∑C)
颇林,2024-01-01 18:00,3.7,0.5,290.0,83.0,6.6,1.0,1023.3,1027.1,1.0,1.0,1192.0,0.0
颇林,2024-01-01 19:00,2.5,0.4,0.0,89.0,6.5,0.8,1023.3,1027.2,0.0,0.0,755.0,0.0
颇林,2024-01-01 20:00,1.7,0.1,0.0,92.0,6.3,0.5,1023.2,1027.1,1.0,1.0,745.0,0.0
颇林,2024-01-01 21:00,1.5,0.4,0.0,94.0,6.4,0.6,1023.0,1026.9,0.0,0.0,532.0,0.0
颇林,2024-01-01 22:00,1.3,0.5,200.0,95.0,6.3,0.5,1023.0,1026.9,0.0,0.0,526.0,0.0
颇林,2024-01-01 23:00,1.6,0.6,140.0,95.0,6.5,0.8,1022.7,1026.6,0.0,0.0,405.0,0.0
颇林,2024-01-02 00:00,1.3,0.6,160.0,96.0,6.4,0.7,1022.5,1026.4,0.0,0.0,370.0,0.0
颇林,2024-01-02 01:00,1.2,0.4,0.0,97.0,6.4,0.7,1022.2,1026.1,9.0,9.0,311.0,0.0
颇林,2024-01-02 02:00,0.8,0.7,250.0,98.0,6.3,0.5,1022.0,1025.9,0.0,0.0,245.0,0.0
颇林,2024-01-02 03:00,0.6,0.8,180.0,97.0,6.2,0.1,1022.0,1025.9,6.0,6.0,224.0,0.0
颇林,2024-01-02 04:00,0.5,0.0,0.0,98.0,6.2,0.2,1021.6,1025.5,0.0,0.0,191.0,0.0
颇林,2024-01-02 05:00,0.0,0.4,0.0,99.0,6.1,-0.1,1021.0,1024.9,8.0,8.0,110.0,0.0
颇林,2024-01-02 06:00,-0.3,0.8,180.0,98.0,5.9,-0.5,1020.6,1024.5,7.0,7.0,198.0,0.0
颇林,2024-01-02 07:00,0.0,0.3,0.0,99.0,6.1,-0.1,1020.8,1024.7,0.0,0.0,207.0,0.0
颇林,2024-01-02 08:00,-0.2,0.7,180.0,99.0,6.0,-0.3,1020.8,1024.7,3.0,3.0,159.0,0.0
颇林,2024-01-02 09:00,0.2,0.2,0.0,99.0,6.1,0.0,1021.1,1025.0,9.0,9.0,193.0,0.0
颇林,2024-01-02 10:00,1.1,0.2,0.0,99.0,6.5,0.9,1021.3,1025.2,10.0,10.0,319.0,0.0
颇林,2024-01-02 11:00,2.9,0.9,200.0,78.0,5.9,-0.5,1020.8,1024.7,7.0,1.0,810.0,0.6
颇林,2024-01-02 12:00,4.1,1.3,290.0,68.0,5.6,-1.2,1020.2,1024.0,7.0,1.0,1775.0,1.7
颇林,2024-01-02 13:00,3.7,1.9,320.0,67.0,5.4,-1.8,1019.6,1023.4,9.0,9.0,2843.0,0.8
颇林,2024-01-02 14:00,4.6,1.7,270.0,67.0,5.7,-1.0,1019.0,1022.8,9.0,1.0,3104.0,1.6
颇林,2024-01-02 15:00,4.0,1.4,250.0,65.0,5.3,-1.9,1018.7,1022.5,9.0,9.0,3540.0,1.0
颇林,2024-01-02 16:00,3.5,1.0,290.0,65.0,5.1,-2.4,1018.9,1022.7,9.0,9.0,3096.0,0.4
颇林,2024-01-02 17:00,3.0,0.6,320.0,67.0,5.1,-2.5,1018.6,1022.4,9.0,9.0,3861.0,0.0
颇林,2024-01-02 18:00,2.2,0.4,0.0,71.0,5.1,-2.5,1018.8,1022.7,10.0,10.0,3206.0,-0.2
颇林,2024-01-02 19:00,1.6,0.0,0.0,74.0,5.1,-2.5,1018.9,1022.8,10.0,10.0,2876.0,-0.2
颇林,2024-01-02 20:00,0.9,0.6,160.0,81.0,5.3,-1.9,1019.0,1022.9,10.0,10.0,2423.0,0.0
颇林,2024-01-02 21:00,0.7,0.0,0.0,81.0,5.2,-2.1,1018.9,1022.8,10.0,10.0,2369.0,0.0
颇林,2024-01-02 22:00,0.3,0.5,200.0,86.0,5.4,-1.7,1018.7,1022.6,10.0,10.0,2060.0,0.0
颇林,2024-01-02 23:00,-0.1,0.4,0.0,88.0,5.4,-1.8,1018.3,1022.2,10.0,9.0,1896.0,0.0
颇林,2024-01-03 00:00,0.1,0.0,0.0,87.0,5.4,-1.8,1018.2,1022.1,10.0,9.0,1504.0,0.0
颇林,2024-01-03 01:00,-0.2,0.2,0.0,91.0,5.5,-1.4,1017.9,1021.8,10.0,10.0,1375.0,0.0
颇林,2024-01-03 02:00,-0.2,0.0,0.0,89.0,5.4,-1.7,1017.4,1021.3,10.0,9.0,1301.0,0.0
颇林,2024-01-03 03:00,-0.3,0.1,0.0,92.0,5.5,-1.4,1017.3,1021.2,10.0,9.0,1188.0,0.0
颇林,2024-01-03 04:00,-0.5,0.2,0.0,92.0,5.4,-1.6,1016.9,1020.8,10.0,10.0,1081.0,0.0
颇林,2024-01-03 05:00,-0.5,0.3,0.0,93.0,5.5,-1.4,1016.4,1020.3,10.0,10.0,1149.0,0.0
颇林,2024-01-03 06:00,-0.5,0.0,0.0,94.0,5.6,-1.3,1016.3,1020.2,10.0,10.0,956.0,0.0
颇林,2024-01-03 07:00,-0.5,0.3,0.0,93.0,5.5,-1.4,1016.4,1020.3,9.0,9.0,1221.0,0.0
颇林,2024-01-03 08:00,-0.5,0.2,0.0,94.0,5.6,-1.3,1016.3,1020.2,2.0,2.0,1032.0,0.0
颇林,2024-01-03 09:00,-0.2,0.1,0.0,94.0,5.7,-1.0,1016.6,1020.5,9.0,9.0,1072.0,0.0
颇林,2024-01-03 10:00,1.2,0.7,110.0,88.0,5.9,-0.5,1016.5,1020.4,9.0,9.0,1343.0,0.0
颇林,2024-01-03 11:00,1.7,0.7,50.0,84.0,5.8,-0.7,1016.3,1020.2,8.0,8.0,1402.0,0.0
颇林,2024-01-03 12:00,1.7,0.8,90.0,84.0,5.8,-0.7,1016.1,1020.0,9.0,9.0,870.0,0.5
颇林,2024-01-03 13:00,1.6,0.6,230.0,89.0,6.1,0.0,1015.6,1019.5,9.0,9.0,704.0,0.8
颇林,2024-01-03 14:00,2.0,0.4,0.0,93.0,6.5,0.9,1015.4,1019.2,9.0,9.0,736.0,1.3
颇林,2024-01-03 15:00,2.6,0.8,340.0,86.0,6.3,0.4,1015.4,1019.2,8.0,8.0,1044.0,1.5
颇林,2024-01-03 16:00,3.0,1.1,250.0,83.0,6.2,0.3,1015.7,1019.5,6.0,6.0,1281.0,0.4
颇林,2024-01-03 17:00,2.5,1.7,290.0,78.0,5.7,-0.9,1016.3,1020.1,6.0,0.0,1095.0,0.0
颇林,2024-01-03 18:00,1.1,1.9,340.0,74.0,4.9,-3.0,1017.0,1020.9,0.0,0.0,1545.0,0.0
颇林,2024-01-03 19:00,0.6,2.5,340.0,76.0,4.9,-3.1,1017.7,1021.6,0.0,0.0,1132.0,0.0
颇林,2024-01-03 20:00,-0.1,1.3,320.0,74.0,4.5,-4.1,1018.4,1022.3,0.0,0.0,1126.0,0.0
颇林,2024-01-03 21:00,-1.3,0.9,320.0,78.0,4.3,-4.6,1018.8,1022.7,0.0,0.0,954.0,-0.2
颇林,2024-01-03 22:00,-2.5,0.6,340.0,84.0,4.3,-4.8,1019.2,1023.1,0.0,0.0,779.0,-0.3
颇林,2024-01-03 23:00,-3.8,0.8,200.0,90.0,4.2,-5.2,1019.6,1023.6,0.0,0.0,590.0,-0.4
颇林,2024-01-04 00:00,-4.2,0.5,200.0,91.0,4.1,-5.4,1019.7,1023.7,0.0,0.0,597.0,-0.5
颇林,2024-01-04 01:00,-4.6,0.4,0.0,92.0,4.0,-5.7,1020.1,1024.1,0.0,0.0,524.0,-0.5
颇林,2024-01-04 02:00,-5.2,0.4,0.0,95.0,4.0,-5.8,1020.0,1024.0,0.0,0.0,371.0,-0.7
颇林,2024-01-04 03:00,-5.6,0.3,0.0,95.0,3.8,-6.2,1020.3,1024.3,0.0,0.0,367.0,-0.9
颇林,2024-01-04 04:00,-6.0,0.2,0.0,96.0,3.8,-6.5,1020.0,1024.0,0.0,0.0,322.0,-0.9
颇林,2024-01-04 05:00,-6.1,1.0,90.0,96.0,3.7,-6.6,1019.9,1023.9,0.0,0.0,337.0,-1.0
颇林,2024-01-04 06:00,-6.6,0.3,0.0,96.0,3.6,-7.1,1020.4,1024.4,0.0,0.0,356.0,-0.7
颇林,2024-01-04 07:00,-6.7,0.0,0.0,95.0,3.5,-7.3,1020.6,1024.6,0.0,0.0,398.0,-1.0
颇林,2024-01-04 08:00,-5.5,0.3,0.0,95.0,3.9,-6.1,1021.1,1025.1,0.0,0.0,429.0,-0.7
颇林,2024-01-04 09:00,-4.9,1.4,90.0,95.0,4.1,-5.5,1021.2,1025.2,9.0,9.0,409.0,-0.6
颇林,2024-01-04 10:00,-3.3,0.8,70.0,93.0,4.5,-4.2,1021.8,1025.8,9.0,9.0,515.0,-0.2
颇林,2024-01-04 11:00,-2.0,0.8,50.0,90.0,4.8,-3.4,1021.6,1025.5,8.0,8.0,634.0,0.0
颇林,2024-01-04 12:00,-0.4,1.2,90.0,84.0,5.0,-2.7,1020.7,1024.6,9.0,9.0,705.0,0.0
颇林,2024-01-04 13:00,1.7,0.1,0.0,76.0,5.3,-2.0,1019.8,1023.7,8.0,5.0,859.0,0.1
颇林,2024-01-04 14:00,3.0,0.6,360.0,73.0,5.6,-1.3,1019.1,1022.9,8.0,8.0,911.0,0.1
颇林,2024-01-04 15:00,4.0,2.0,230.0,67.0,5.5,-1.5,1018.1,1021.9,8.0,8.0,1170.0,0.1
颇林,2024-01-04 16:00,4.2,1.8,230.0,67.0,5.6,-1.3,1018.0,1021.8,9.0,9.0,1183.0,0.1
颇林,2024-01-04 17:00,3.9,1.4,250.0,73.0,5.9,-0.5,1018.3,1022.1,9.0,9.0,1159.0,0.0
颇林,2024-01-04 18:00,3.7,2.4,200.0,73.0,5.8,-0.7,1017.7,1021.5,5.0,5.0,1210.0,0.0
颇林,2024-01-04 19:00,3.4,1.2,230.0,74.0,5.8,-0.8,1017.5,1021.3,8.0,8.0,1130.0,0.0
颇林,2024-01-04 20:00,3.3,1.8,230.0,76.0,5.9,-0.5,1017.5,1021.3,0.0,0.0,1015.0,0.0
颇林,2024-01-04 21:00,3.5,2.8,230.0,76.0,6.0,-0.3,1017.1,1020.9,0.0,0.0,994.0,0.0
颇林,2024-01-04 22:00,3.5,1.8,230.0,75.0,5.9,-0.5,1016.9,1020.7,9.0,9.0,939.0,0.0
颇林,2024-01-04 23:00,3.7,2.3,230.0,78.0,6.2,0.2,1016.6,1020.4,0.0,0.0,906.0,0.0
颇林,2024-01-05 00:00,3.9,2.2,230.0,78.0,6.3,0.4,1016.8,1020.6,0.0,0.0,927.0,0.0
颇林,2024-01-05 01:00,3.2,2.6,230.0,80.0,6.1,0.0,1016.7,1020.5,0.0,0.0,885.0,0.0
颇林,2024-01-05 02:00,3.7,3.5,230.0,80.0,6.3,0.5,1016.4,1020.2,0.0,0.0,866.0,0.0
颇林,2024-01-05 03:00,3.9,2.9,230.0,81.0,6.5,0.9,1016.4,1020.2,9.0,9.0,833.0,0.0
颇林,2024-01-05 04:00,4.4,3.9,200.0,82.0,6.8,1.5,1015.9,1019.7,4.0,4.0,829.0,0.0
颇林,2024-01-05 05:00,4.3,2.9,230.0,84.0,7.0,1.8,1016.1,1019.9,0.0,0.0,781.0,0.0
颇林,2024-01-05 06:00,2.9,1.3,200.0,89.0,6.7,1.2,1016.4,1020.2,7.0,7.0,639.0,0.0
颇林,2024-01-05 07:00,2.7,1.0,200.0,91.0,6.7,1.3,1017.0,1020.8,6.0,6.0,539.0,0.0
颇林,2024-01-05 08:00,3.0,1.6,200.0,92.0,7.0,1.8,1017.3,1021.1,1.0,1.0,503.0,0.0
颇林,2024-01-05 09:00,3.0,1.0,200.0,94.0,7.1,2.1,1017.6,1021.4,7.0,7.0,350.0,0.0
颇林,2024-01-05 10:00,5.0,1.2,230.0,88.0,7.6,3.1,1018.1,1021.9,4.0,4.0,430.0,0.2
颇林,2024-01-05 11:00,6.5,2.3,270.0,78.0,7.5,2.9,1018.5,1022.3,1.0,1.0,465.0,0.6
颇林,2024-01-05 12:00,7.4,2.6,270.0,68.0,7.0,1.8,1017.8,1021.6,6.0,6.0,594.0,1.7
颇林,2024-01-05 13:00,7.6,2.0,360.0,71.0,7.4,2.6,1017.0,1020.8,0.0,0.0,518.0,2.5
颇林,2024-01-05 14:00,7.9,2.3,320.0,69.0,7.3,2.5,1016.5,1020.3,0.0,0.0,562.0,2.7
颇林,2024-01-05 15:00,7.4,2.5,270.0,61.0,6.2,0.3,1016.4,1020.2,0.0,0.0,658.0,1.8
颇林,2024-01-05 16:00,6.6,3.2,270.0,63.0,6.1,0.0,1016.5,1020.3,0.0,0.0,605.0,0.8
颇林,2024-01-05 17:00,5.3,1.8,270.0,72.0,6.4,0.6,1016.6,1020.4,0.0,0.0,490.0,-0.3
颇林,2024-01-05 18:00,2.8,1.2,250.0,82.0,6.1,0.0,1017.1,1020.9,0.0,0.0,369.0,0.0
颇林,2024-01-05 19:00,1.9,0.6,180.0,90.0,6.3,0.4,1017.2,1021.1,0.0,0.0,257.0,0.0
颇林,2024-01-05 20:00,0.5,0.3,0.0,95.0,6.0,-0.2,1017.6,1021.5,0.0,0.0,173.0,-0.1
颇林,2024-01-05 21:00,0.0,0.0,0.0,96.0,5.9,-0.5,1018.1,1022.0,0.0,0.0,153.0,-0.2
颇林,2024-01-05 22:00,-0.9,0.1,0.0,97.0,5.6,-1.3,1018.4,1022.3,0.0,0.0,102.0,-0.3
颇林,2024-01-05 23:00,-2.5,0.3,0.0,97.0,4.9,-2.9,1018.7,1022.6,0.0,0.0,110.0,-0.4
颇林,2024-01-06 00:00,-3.1,0.2,0.0,98.0,4.8,-3.3,1018.8,1022.7,0.0,0.0,120.0,-0.5
颇林,2024-01-06 01:00,-4.1,0.2,0.0,96.0,4.3,-4.6,1018.9,1022.9,0.0,0.0,171.0,-0.5
颇林,2024-01-06 02:00,-5.0,0.2,0.0,97.0,4.1,-5.4,1018.9,1022.9,0.0,0.0,171.0,-0.7
颇林,2024-01-06 03:00,-5.7,0.1,0.0,96.0,3.8,-6.2,1019.4,1023.4,0.0,0.0,255.0,-0.7
颇林,2024-01-06 04:00,-6.0,0.8,180.0,95.0,3.7,-6.6,1019.4,1023.4,0.0,0.0,300.0,-0.9
颇林,2024-01-06 05:00,-5.9,0.4,0.0,95.0,3.8,-6.5,1019.4,1023.4,0.0,0.0,360.0,-0.9
颇林,2024-01-06 06:00,-6.5,0.2,0.0,94.0,3.5,-7.3,1019.6,1023.6,0.0,0.0,469.0,-1.0
颇林,2024-01-06 07:00,-6.8,0.6,160.0,94.0,3.5,-7.6,1020.0,1024.0,0.0,0.0,751.0,-1.2
颇林,2024-01-06 08:00,-7.1,0.1,0.0,94.0,3.4,-7.9,1020.4,1024.4,0.0,0.0,698.0,-1.3
颇林,2024-01-06 09:00,-5.1,0.0,0.0,94.0,3.9,-5.9,1020.9,1024.9,0.0,0.0,573.0,-1.0
颇林,2024-01-06 10:00,-1.7,0.3,0.0,80.0,4.3,-4.7,1021.0,1024.9,0.0,0.0,1585.0,-0.5
颇林,2024-01-06 11:00,-0.3,0.5,340.0,61.0,3.6,-6.9,1020.6,1024.5,0.0,0.0,3251.0,0.0
颇林,2024-01-06 12:00,1.2,1.0,360.0,55.0,3.7,-6.8,1020.2,1024.1,0.0,0.0,3678.0,0.1
颇林,2024-01-06 13:00,2.5,1.5,270.0,49.0,3.6,-7.1,1019.4,1023.3,0.0,0.0,5000.0,0.3
颇林,2024-01-06 14:00,3.5,2.0,290.0,41.0,3.2,-8.5,1018.5,1022.3,0.0,0.0,5000.0,0.4
颇林,2024-01-06 15:00,3.9,2.4,250.0,48.0,3.9,-6.1,1018.4,1022.2,0.0,0.0,4815.0,0.2
颇林,2024-01-06 16:00,3.3,2.1,270.0,45.0,3.5,-7.5,1018.3,1022.1,0.0,0.0,4982.0,0.0
颇林,2024-01-06 17:00,2.0,1.7,270.0,51.0,3.6,-7.0,1018.6,1022.5,1.0,1.0,4320.0,0.0
颇林,2024-01-06 18:00,-0.2,2.4,270.0,85.0,5.1,-2.4,1019.5,1023.4,2.0,2.0,651.0,0.0
颇林,2024-01-06 19:00,-0.9,1.2,230.0,96.0,5.5,-1.4,1019.4,1023.3,7.0,7.0,822.0,0.0
颇林,2024-01-06 20:00,-0.7,0.1,0.0,97.0,5.6,-1.1,1019.5,1023.4,8.0,8.0,670.0,0.0
颇林,2024-01-06 21:00,-1.9,0.5,90.0,97.0,5.2,-2.3,1019.7,1023.6,0.0,0.0,445.0,0.0
颇林,2024-01-06 22:00,-2.0,0.5,250.0,98.0,5.2,-2.2,1019.9,1023.8,0.0,0.0,692.0,0.0
颇林,2024-01-06 23:00,-2.5,0.5,270.0,97.0,4.9,-2.9,1020.5,1024.4,0.0,0.0,1084.0,0.0
颇林,2024-01-07 00:00,-3.0,1.6,340.0,86.0,4.2,-5.0,1020.8,1024.7,0.0,0.0,1777.0,-0.2
颇林,2024-01-07 01:00,-3.6,1.3,340.0,82.0,3.8,-6.2,1020.9,1024.9,0.0,0.0,1981.0,-0.3
颇林,2024-01-07 02:00,-4.6,0.4,0.0,87.0,3.8,-6.4,1020.9,1024.9,0.0,0.0,1661.0,-0.5
颇林,2024-01-07 03:00,-5.0,0.2,0.0,86.0,3.6,-6.9,1021.3,1025.3,0.0,0.0,1609.0,-0.5
颇林,2024-01-07 04:00,-5.3,0.7,320.0,87.0,3.6,-7.1,1021.5,1025.5,0.0,0.0,1260.0,-0.7
颇林,2024-01-07 05:00,-4.4,2.9,340.0,79.0,3.5,-7.4,1021.6,1025.6,0.0,0.0,1353.0,-0.7
颇林,2024-01-07 06:00,-5.0,1.4,360.0,71.0,3.0,-9.4,1022.2,1026.2,0.0,0.0,1818.0,-0.9
颇林,2024-01-07 07:00,-4.7,2.6,340.0,56.0,2.4,-12.1,1022.7,1026.7,0.0,0.0,3105.0,-0.9
颇林,2024-01-07 08:00,-4.7,3.1,320.0,47.0,2.0,-14.3,1023.4,1027.4,0.0,0.0,3811.0,-1.0
颇林,2024-01-07 09:00,-4.9,2.0,270.0,50.0,2.1,-13.7,1024.3,1028.3,0.0,0.0,3707.0,-0.9
颇林,2024-01-07 10:00,-4.2,3.4,320.0,50.0,2.3,-13.0,1024.9,1028.9,0.0,0.0,3749.0,-0.7
颇林,2024-01-07 11:00,-3.9,3.1,340.0,41.0,1.9,-15.2,1025.0,1029.0,0.0,0.0,5000.0,-0.4
颇林,2024-01-07 12:00,-3.4,3.4,320.0,40.0,1.9,-15.0,1024.6,1028.6,0.0,0.0,5000.0,-0.3
颇林,2024-01-07 13:00,-3.3,4.1,340.0,37.0,1.8,-15.9,1024.0,1028.0,0.0,0.0,5000.0,-0.2
颇林,2024-01-07 14:00,-3.0,3.7,360.0,37.0,1.8,-15.6,1023.8,1027.8,0.0,0.0,5000.0,-0.2
颇林,2024-01-07 15:00,-3.4,3.8,360.0,37.0,1.8,-16.0,1024.2,1028.2,0.0,0.0,5000.0,-0.3
颇林,2024-01-07 16:00,-3.6,3.5,340.0,39.0,1.8,-15.5,1024.4,1028.4,0.0,0.0,5000.0,-0.5
颇林,2024-01-07 17:00,-4.6,3.7,340.0,38.0,1.7,-16.7,1024.7,1028.7,0.0,0.0,5000.0,-0.9
颇林,2024-01-07 18:00,-6.1,2.4,340.0,48.0,1.9,-15.3,1025.1,1029.1,0.0,0.0,4939.0,-1.3
颇林,2024-01-07 19:00,-7.0,2.5,360.0,55.0,2.0,-14.5,1025.9,1029.9,0.0,0.0,4265.0,-1.4
颇林,2024-01-07 20:00,-7.6,2.5,360.0,62.0,2.1,-13.6,1026.2,1030.2,0.0,0.0,3664.0,-1.7
颇林,2024-01-07 21:00,-8.2,2.4,360.0,63.0,2.1,-14.0,1026.7,1030.7,0.0,0.0,3608.0,-1.8
颇林,2024-01-07 22:00,-8.8,0.3,0.0,65.0,2.1,-14.1,1026.7,1030.8,0.0,0.0,3551.0,-1.8
颇林,2024-01-07 23:00,-9.8,0.5,20.0,74.0,2.2,-13.5,1026.8,1030.9,0.0,0.0,3301.0,-1.9
颇林,2024-01-08 00:00,-11.2,0.4,0.0,81.0,2.1,-13.8,1026.5,1030.6,0.0,0.0,2800.0,-2.0
颇林,2024-01-08 01:00,-11.7,0.7,160.0,85.0,2.1,-13.7,1026.6,1030.7,0.0,0.0,2196.0,-2.1
颇林,2024-01-08 02:00,-12.2,0.2,0.0,85.0,2.0,-14.2,1026.7,1030.8,0.0,0.0,2409.0,-2.3
颇林,2024-01-08 03:00,-12.2,0.7,160.0,85.0,2.0,-14.2,1026.8,1030.9,0.0,0.0,2460.0,-2.3
颇林,2024-01-08 04:00,-12.9,0.8,90.0,88.0,2.0,-14.4,1026.5,1030.6,0.0,0.0,2027.0,-2.5
颇林,2024-01-08 05:00,-12.9,0.6,110.0,88.0,2.0,-14.4,1026.2,1030.3,1.0,0.0,2193.0,-2.5
颇林,2024-01-08 06:00,-13.4,0.2,0.0,89.0,1.9,-14.8,1026.1,1030.2,2.0,0.0,2163.0,-2.6
颇林,2024-01-08 07:00,-13.5,0.5,160.0,88.0,1.9,-15.0,1026.5,1030.6,5.0,0.0,1857.0,-2.8
颇林,2024-01-08 08:00,-13.7,0.3,0.0,89.0,1.9,-15.1,1026.4,1030.5,0.0,0.0,2058.0,-2.8
颇林,2024-01-08 09:00,-11.3,0.3,0.0,86.0,2.2,-13.1,1026.9,1031.0,0.0,0.0,2076.0,-2.6
颇林,2024-01-08 10:00,-8.6,0.9,90.0,71.0,2.3,-12.9,1027.0,1031.1,0.0,0.0,2707.0,-1.8
颇林,2024-01-08 11:00,-6.5,0.6,360.0,58.0,2.2,-13.4,1026.8,1030.8,0.0,0.0,3559.0,-0.9
颇林,2024-01-08 12:00,-4.9,1.0,320.0,56.0,2.4,-12.3,1025.9,1029.9,0.0,0.0,3900.0,-0.4
颇林,2024-01-08 13:00,-3.6,2.0,290.0,42.0,2.0,-14.6,1025.0,1029.0,0.0,0.0,4960.0,-0.2
颇林,2024-01-08 14:00,-2.7,1.6,270.0,30.0,1.5,-17.9,1024.0,1028.0,3.0,0.0,5000.0,0.0
颇林,2024-01-08 15:00,-2.1,1.8,250.0,44.0,2.3,-12.7,1023.3,1027.2,6.0,0.0,4947.0,0.0
颇林,2024-01-08 16:00,-2.2,1.5,270.0,53.0,2.8,-10.5,1023.1,1027.0,5.0,0.0,4825.0,-0.2
颇林,2024-01-08 17:00,-2.8,0.2,0.0,58.0,2.9,-9.9,1023.2,1027.1,6.0,0.0,4519.0,-0.4
颇林,2024-01-08 18:00,-4.0,0.4,0.0,63.0,2.9,-10.0,1023.2,1027.2,8.0,3.0,4082.0,-0.7
颇林,2024-01-08 19:00,-5.0,0.3,0.0,76.0,3.2,-8.5,1023.1,1027.1,7.0,7.0,3296.0,-0.9
颇林,2024-01-08 20:00,-4.8,0.6,140.0,74.0,3.2,-8.7,1022.6,1026.6,0.0,0.0,3164.0,-0.9
颇林,2024-01-08 21:00,-4.2,0.2,0.0,75.0,3.4,-7.9,1022.4,1026.4,0.0,0.0,3004.0,-0.7
颇林,2024-01-08 22:00,-3.8,0.9,90.0,71.0,3.3,-8.2,1022.1,1026.1,2.0,2.0,3691.0,-0.7
颇林,2024-01-08 23:00,-3.6,0.4,0.0,71.0,3.3,-8.1,1022.1,1026.1,1.0,1.0,3512.0,-0.7
颇林,2024-01-09 00:00,-3.5,0.2,0.0,71.0,3.3,-8.0,1021.9,1025.9,2.0,2.0,3669.0,-0.7
颇林,2024-01-09 01:00,-2.8,1.7,200.0,72.0,3.6,-7.1,1020.4,1024.3,1.0,1.0,2889.0,-0.7
颇林,2024-01-09 02:00,-2.8,0.4,0.0,74.0,3.7,-6.7,1020.2,1024.1,0.0,0.0,3155.0,-0.7
颇林,2024-01-09 03:00,-3.0,0.1,0.0,76.0,3.7,-6.6,1019.9,1023.8,7.0,7.0,3007.0,-0.7
颇林,2024-01-09 04:00,-3.0,0.8,90.0,76.0,3.7,-6.6,1019.2,1023.1,0.0,0.0,2434.0,-0.7
颇林,2024-01-09 05:00,-3.0,0.6,90.0,78.0,3.8,-6.3,1018.8,1022.7,0.0,0.0,1612.0,-0.7
颇林,2024-01-09 06:00,-3.3,0.5,50.0,82.0,3.9,-5.9,1018.3,1022.2,0.0,0.0,1450.0,-0.7
颇林,2024-01-09 07:00,-3.5,0.6,90.0,87.0,4.1,-5.3,1018.2,1022.1,0.0,0.0,865.0,-0.7
颇林,2024-01-09 08:00,-3.3,0.9,70.0,89.0,4.3,-4.8,1018.2,1022.1,0.0,0.0,1143.0,-0.7
颇林,2024-01-09 09:00,-3.2,0.9,70.0,90.0,4.3,-4.6,1018.5,1022.4,8.0,8.0,1047.0,-0.5
颇林,2024-01-09 10:00,-2.8,1.4,70.0,91.0,4.5,-4.0,1018.7,1022.6,10.0,10.0,583.0,-0.5
