ÁöÁ¡¸í,ÀÏ½Ã,±â¿Â(¡ÆC),Ç³¼Ó(m/s),Ç³Çâ(16¹æÀ§),½Àµµ(%),Áõ±â¾Ð(hPa),ÀÌ½½Á¡¿Âµµ(¡ÆC),ÇöÁö±â¾Ð(hPa),ÇØ¸é±â¾Ð(hPa),Àü¿î·®(10ºÐÀ§),ÁßÇÏÃþ¿î·®(10ºÐÀ§),½ÃÁ¤(10m),Áö¸é¿Âµµ(¡ÆC)
¼­±ÍÆ÷,2024-01-02 11:00,12.7,2.4,230.0,52.0,7.6,3.0,1017.5,1023.8,1.0,1.0,3142.0,16.9
¼­±ÍÆ÷,2024-01-02 12:00,13.4,2.9,200.0,53.0,8.1,4.0,1016.2,1022.4,1.0,0.0,2984.0,19.5
¼­±ÍÆ÷,2024-01-02 13:00,13.2,3.4,230.0,57.0,8.6,4.8,1015.2,1021.4,0.0,0.0,2833.0,20.7
¼­±ÍÆ÷,2024-01-02 14:00,13.4,3.0,230.0,57.0,8.7,5.0,1014.7,1020.9,1.0,1.0,2618.0,20.5
¼­±ÍÆ÷,2024-01-02 15:00,13.1,2.4,250.0,51.0,7.6,3.1,1014.4,1020.6,4.0,4.0,3048.0,17.8
¼­±ÍÆ÷,2024-01-02 16:00,12.5,1.8,230.0,53.0,7.6,3.1,1014.2,1020.5,4.0,4.0,3114.0,14.6
¼­±ÍÆ÷,2024-01-02 17:00,11.6,1.4,250.0,58.0,7.9,3.6,1014.3,1020.6,5.0,5.0,2809.0,11.2
¼­±ÍÆ÷,2024-01-02 18:00,10.9,1.0,270.0,61.0,7.9,3.6,1014.3,1020.6,6.0,3.0,2856.0,8.6
¼­±ÍÆ÷,2024-01-02 19:00,10.0,1.0,20.0,59.0,7.2,2.3,1014.6,1020.9,7.0,3.0,2692.0,7.2
¼­±ÍÆ÷,2024-01-02 20:00,9.2,0.9,20.0,63.0,7.3,2.5,1014.4,1020.7,7.0,1.0,2592.0,7.0
¼­±ÍÆ÷,2024-01-02 21:00,9.5,1.5,360.0,62.0,7.3,2.5,1014.6,1020.9,8.0,4.0,2590.0,7.0
¼­±ÍÆ÷,2024-01-02 22:00,9.8,0.6,320.0,60.0,7.2,2.3,1014.2,1020.5,7.0,7.0,2855.0,6.8
¼­±ÍÆ÷,2024-01-02 23:00,9.2,0.4,0.0,62.0,7.2,2.2,1013.9,1020.2,8.0,3.0,3642.0,5.9
¼­±ÍÆ÷,2024-01-03 00:00,9.8,0.2,0.0,61.0,7.4,2.6,1013.8,1020.1,9.0,3.0,3578.0,6.1
¼­±ÍÆ÷,2024-01-03 01:00,10.6,1.4,270.0,58.0,7.4,2.6,1013.8,1020.1,8.0,1.0,4776.0,6.5
¼­±ÍÆ÷,2024-01-03 02:00,10.8,1.3,290.0,55.0,7.1,2.1,1013.2,1019.5,10.0,1.0,4995.0,6.9
¼­±ÍÆ÷,2024-01-03 03:00,10.6,0.6,290.0,54.0,6.9,1.6,1012.3,1018.6,10.0,2.0,4995.0,6.7
¼­±ÍÆ÷,2024-01-03 04:00,10.7,0.7,250.0,54.0,6.9,1.7,1011.7,1018.0,10.0,2.0,5000.0,6.9
¼­±ÍÆ÷,2024-01-03 05:00,10.7,1.5,290.0,53.0,6.8,1.4,1011.7,1018.0,10.0,3.0,4705.0,6.8
¼­±ÍÆ÷,2024-01-03 06:00,9.6,1.6,230.0,65.0,7.7,3.3,1011.2,1017.5,10.0,8.0,3629.0,6.8
¼­±ÍÆ÷,2024-01-03 07:00,9.0,0.5,230.0,67.0,7.6,3.1,1011.6,1017.9,10.0,7.0,3389.0,6.9
¼­±ÍÆ÷,2024-01-03 08:00,9.2,1.1,20.0,66.0,7.6,3.1,1011.9,1018.2,10.0,2.0,4626.0,6.9
¼­±ÍÆ÷,2024-01-03 09:00,9.3,0.3,0.0,66.0,7.7,3.2,1012.2,1018.5,10.0,3.0,3616.0,7.7
¼­±ÍÆ÷,2024-01-03 10:00,10.3,1.2,360.0,65.0,8.1,3.9,1012.3,1018.6,10.0,2.0,4799.0,10.0
¼­±ÍÆ÷,2024-01-03 11:00,9.7,3.7,230.0,57.0,6.8,1.5,1011.5,1017.8,8.0,4.0,3798.0,11.4
¼­±ÍÆ÷,2024-01-03 12:00,11.3,1.8,110.0,50.0,6.7,1.2,1011.6,1017.9,2.0,2.0,4203.0,16.4
¼­±ÍÆ÷,2024-01-03 13:00,11.3,1.1,70.0,46.0,6.1,0.0,1011.2,1017.5,2.0,2.0,3668.0,21.1
¼­±ÍÆ÷,2024-01-03 14:00,11.2,3.5,290.0,41.0,5.5,-1.5,1011.3,1017.6,1.0,1.0,2307.0,19.0
¼­±ÍÆ÷,2024-01-03 15:00,10.4,2.3,320.0,43.0,5.4,-1.6,1012.6,1018.9,1.0,1.0,2275.0,17.1
¼­±ÍÆ÷,2024-01-03 16:00,9.4,2.2,320.0,46.0,5.4,-1.6,1013.5,1019.8,1.0,1.0,1780.0,12.8
¼­±ÍÆ÷,2024-01-03 17:00,8.5,2.2,290.0,47.0,5.2,-2.1,1014.4,1020.8,1.0,1.0,1968.0,8.4
¼­±ÍÆ÷,2024-01-03 18:00,7.7,1.3,270.0,50.0,5.3,-2.0,1015.5,1021.9,3.0,3.0,2169.0,5.7
¼­±ÍÆ÷,2024-01-03 19:00,7.6,1.3,250.0,50.0,5.2,-2.1,1015.8,1022.2,0.0,0.0,2449.0,4.6
¼­±ÍÆ÷,2024-01-03 20:00,7.5,1.0,250.0,46.0,4.8,-3.3,1015.9,1022.3,6.0,1.0,2302.0,3.8
¼­±ÍÆ÷,2024-01-03 21:00,7.7,1.9,250.0,48.0,5.0,-2.6,1016.2,1022.6,1.0,1.0,3329.0,3.7
¼­±ÍÆ÷,2024-01-03 22:00,7.2,2.3,270.0,46.0,4.7,-3.6,1016.4,1022.8,0.0,0.0,2558.0,2.9
¼­±ÍÆ÷,2024-01-03 23:00,7.0,2.3,290.0,44.0,4.4,-4.4,1015.5,1021.9,0.0,0.0,1920.0,2.5
¼­±ÍÆ÷,2024-01-04 00:00,6.4,1.0,340.0,49.0,4.7,-3.5,1016.0,1022.4,1.0,1.0,1796.0,1.9
¼­±ÍÆ÷,2024-01-04 01:00,6.1,1.6,360.0,53.0,5.0,-2.7,1016.0,1022.4,4.0,0.0,1644.0,1.7
¼­±ÍÆ÷,2024-01-04 02:00,5.0,1.3,360.0,57.0,5.0,-2.8,1016.3,1022.8,1.0,0.0,2087.0,1.4
¼­±ÍÆ÷,2024-01-04 03:00,4.2,1.9,20.0,64.0,5.3,-2.0,1016.2,1022.7,0.0,0.0,1985.0,1.1
¼­±ÍÆ÷,2024-01-04 04:00,4.6,1.8,360.0,64.0,5.4,-1.6,1015.8,1022.3,0.0,0.0,1772.0,1.0
¼­±ÍÆ÷,2024-01-04 05:00,5.2,1.4,360.0,64.0,5.7,-1.0,1016.1,1022.6,0.0,0.0,1714.0,1.1
¼­±ÍÆ÷,2024-01-04 06:00,5.3,1.6,360.0,67.0,6.0,-0.3,1016.3,1022.8,1.0,1.0,1566.0,1.1
¼­±ÍÆ÷,2024-01-04 07:00,5.1,2.3,360.0,69.0,6.1,-0.1,1016.7,1023.2,0.0,0.0,1545.0,1.1
¼­±ÍÆ÷,2024-01-04 08:00,5.3,1.9,360.0,67.0,6.0,-0.3,1017.5,1024.0,0.0,0.0,1605.0,1.4
¼­±ÍÆ÷,2024-01-04 09:00,7.4,1.4,20.0,63.0,6.5,0.8,1018.2,1024.6,0.0,0.0,1595.0,3.0
¼­±ÍÆ÷,2024-01-04 10:00,9.3,0.8,160.0,55.0,6.4,0.7,1018.9,1025.3,0.0,0.0,1970.0,10.4
¼­±ÍÆ÷,2024-01-04 11:00,10.0,1.4,200.0,53.0,6.5,0.8,1018.9,1025.3,0.0,0.0,2271.0,16.1
¼­±ÍÆ÷,2024-01-04 12:00,10.4,1.2,200.0,52.0,6.5,0.9,1018.0,1024.3,0.0,0.0,2187.0,18.2
¼­±ÍÆ÷,2024-01-04 13:00,11.2,2.3,200.0,48.0,6.3,0.5,1017.6,1023.9,0.0,0.0,2193.0,20.8
¼­±ÍÆ÷,2024-01-04 14:00,11.7,2.5,230.0,52.0,7.1,2.1,1016.7,1023.0,0.0,0.0,1881.0,21.0
¼­±ÍÆ÷,2024-01-04 15:00,11.1,3.7,230.0,54.0,7.1,2.1,1016.4,1022.7,0.0,0.0,1976.0,18.7
¼­±ÍÆ÷,2024-01-04 16:00,10.9,3.5,230.0,54.0,7.0,1.9,1016.5,1022.8,0.0,0.0,2039.0,14.6
¼­±ÍÆ÷,2024-01-04 17:00,10.0,1.6,250.0,55.0,6.7,1.3,1016.8,1023.1,0.0,0.0,2141.0,10.6
¼­±ÍÆ÷,2024-01-04 18:00,8.6,1.1,250.0,60.0,6.7,1.2,1016.9,1023.3,0.0,0.0,1932.0,7.0
¼­±ÍÆ÷,2024-01-04 19:00,8.4,1.1,320.0,62.0,6.8,1.5,1017.2,1023.6,0.0,0.0,1658.0,5.6
¼­±ÍÆ÷,2024-01-04 20:00,7.4,0.6,320.0,64.0,6.6,1.0,1017.6,1024.0,0.0,0.0,2095.0,4.6
¼­±ÍÆ÷,2024-01-04 21:00,7.6,1.2,320.0,66.0,6.9,1.6,1017.5,1023.9,0.0,0.0,3024.0,4.2
¼­±ÍÆ÷,2024-01-04 22:00,7.8,1.2,320.0,67.0,7.1,2.0,1017.7,1024.1,0.0,0.0,3230.0,4.0
¼­±ÍÆ÷,2024-01-04 23:00,7.8,1.1,320.0,68.0,7.2,2.2,1017.7,1024.1,0.0,0.0,2863.0,3.8
¼­±ÍÆ÷,2024-01-05 00:00,7.9,0.8,320.0,69.0,7.3,2.5,1017.5,1023.9,0.0,0.0,2588.0,3.4
¼­±ÍÆ÷,2024-01-05 01:00,7.9,1.0,290.0,71.0,7.5,2.9,1017.3,1023.7,0.0,0.0,2519.0,3.4
¼­±ÍÆ÷,2024-01-05 02:00,8.2,0.9,290.0,72.0,7.8,3.4,1017.2,1023.6,0.0,0.0,2170.0,3.6
¼­±ÍÆ÷,2024-01-05 03:00,8.4,0.8,290.0,72.0,7.9,3.6,1017.2,1023.6,0.0,0.0,1740.0,4.3
¼­±ÍÆ÷,2024-01-05 04:00,9.2,1.9,270.0,71.0,8.2,4.2,1017.0,1023.3,4.0,4.0,1723.0,5.6
¼­±ÍÆ÷,2024-01-05 05:00,9.6,1.6,270.0,70.0,8.3,4.3,1016.6,1022.9,6.0,6.0,1529.0,6.2
¼­±ÍÆ÷,2024-01-05 06:00,9.7,1.8,270.0,69.0,8.2,4.2,1017.0,1023.3,4.0,4.0,1550.0,6.5
¼­±ÍÆ÷,2024-01-05 07:00,9.9,1.5,270.0,68.0,8.2,4.2,1017.2,1023.6,8.0,8.0,1631.0,6.5
¼­±ÍÆ÷,2024-01-05 08:00,10.3,1.3,290.0,65.0,8.1,3.9,1017.3,1023.6,7.0,7.0,1601.0,6.8
¼­±ÍÆ÷,2024-01-05 09:00,10.9,1.7,270.0,64.0,8.3,4.3,1017.7,1024.0,7.0,7.0,1596.0,8.4
¼­±ÍÆ÷,2024-01-05 10:00,11.7,1.8,270.0,60.0,8.2,4.1,1017.9,1024.2,8.0,8.0,1716.0,10.2
¼­±ÍÆ÷,2024-01-05 11:00,12.7,1.5,250.0,60.0,8.8,5.1,1017.5,1023.8,8.0,8.0,1795.0,12.9
¼­±ÍÆ÷,2024-01-05 12:00,13.7,2.3,230.0,57.0,8.9,5.3,1016.8,1023.0,8.0,8.0,2063.0,16.2
¼­±ÍÆ÷,2024-01-05 13:00,13.6,3.0,230.0,58.0,9.0,5.4,1015.8,1022.0,7.0,7.0,2683.0,17.2
¼­±ÍÆ÷,2024-01-05 14:00,14.2,3.7,230.0,56.0,9.0,5.5,1014.9,1021.1,7.0,7.0,2648.0,19.6
¼­±ÍÆ÷,2024-01-05 15:00,13.9,3.2,230.0,58.0,9.2,5.7,1014.4,1020.6,7.0,7.0,2719.0,17.2
¼­±ÍÆ÷,2024-01-05 16:00,13.5,2.0,250.0,60.0,9.2,5.8,1014.5,1020.7,8.0,8.0,2223.0,14.2
¼­±ÍÆ÷,2024-01-05 17:00,13.2,1.6,270.0,62.0,9.3,6.0,1014.5,1020.7,7.0,3.0,2041.0,12.1
¼­±ÍÆ÷,2024-01-05 18:00,12.6,0.9,290.0,64.0,9.3,5.9,1015.0,1021.3,7.0,3.0,1755.0,10.2
¼­±ÍÆ÷,2024-01-05 19:00,12.2,0.6,290.0,60.0,8.5,4.6,1015.1,1021.4,6.0,1.0,2033.0,8.9
¼­±ÍÆ÷,2024-01-05 20:00,11.9,0.7,340.0,62.0,8.6,4.8,1015.1,1021.4,7.0,3.0,2182.0,8.5
¼­±ÍÆ÷,2024-01-05 21:00,11.8,0.8,320.0,66.0,9.1,5.6,1015.1,1021.4,5.0,5.0,2069.0,8.1
¼­±ÍÆ÷,2024-01-05 22:00,11.0,1.0,320.0,70.0,9.2,5.7,1015.1,1021.4,6.0,1.0,2004.0,7.3
¼­±ÍÆ÷,2024-01-05 23:00,10.6,0.9,340.0,70.0,8.9,5.3,1015.0,1021.3,0.0,0.0,2132.0,6.5
¼­±ÍÆ÷,2024-01-06 00:00,10.5,0.9,320.0,69.0,8.7,5.0,1014.8,1021.1,1.0,1.0,2369.0,6.0
¼­±ÍÆ÷,2024-01-06 01:00,10.5,1.1,340.0,69.0,8.7,5.0,1014.5,1020.8,3.0,0.0,2258.0,5.7
¼­±ÍÆ÷,2024-01-06 02:00,10.3,0.6,320.0,67.0,8.4,4.4,1014.2,1020.5,3.0,0.0,2297.0,5.1
¼­±ÍÆ÷,2024-01-06 03:00,9.4,1.9,20.0,59.0,6.9,1.7,1014.1,1020.4,0.0,0.0,3387.0,4.6
¼­±ÍÆ÷,2024-01-06 04:00,8.6,1.6,360.0,63.0,7.0,1.9,1013.9,1020.2,0.0,0.0,2944.0,4.1
¼­±ÍÆ÷,2024-01-06 05:00,8.3,0.2,0.0,69.0,7.5,2.9,1013.8,1020.2,0.0,0.0,2266.0,3.7
¼­±ÍÆ÷,2024-01-06 06:00,7.0,2.3,360.0,74.0,7.4,2.6,1013.8,1020.2,0.0,0.0,2206.0,3.6
¼­±ÍÆ÷,2024-01-06 07:00,7.2,1.9,20.0,77.0,7.8,3.4,1014.1,1020.5,1.0,1.0,1762.0,3.8
¼­±ÍÆ÷,2024-01-06 08:00,7.5,1.2,360.0,76.0,7.8,3.5,1014.6,1021.0,0.0,0.0,1464.0,3.8
¼­±ÍÆ÷,2024-01-06 09:00,10.1,0.9,250.0,69.0,8.5,4.6,1015.0,1021.3,2.0,2.0,1172.0,5.8
¼­±ÍÆ÷,2024-01-06 10:00,12.4,2.2,200.0,57.0,8.2,4.1,1015.4,1021.7,0.0,0.0,1448.0,11.9
¼­±ÍÆ÷,2024-01-06 11:00,13.0,2.8,180.0,55.0,8.2,4.1,1015.1,1021.3,1.0,1.0,1442.0,16.6
¼­±ÍÆ÷,2024-01-06 12:00,13.0,1.8,160.0,50.0,7.5,2.8,1014.5,1020.7,2.0,2.0,1989.0,19.2
¼­±ÍÆ÷,2024-01-06 13:00,13.4,1.3,160.0,44.0,6.7,1.3,1013.9,1020.1,0.0,0.0,3575.0,21.8
¼­±ÍÆ÷,2024-01-06 14:00,13.3,1.3,140.0,44.0,6.7,1.2,1013.7,1019.9,0.0,0.0,3983.0,22.3
¼­±ÍÆ÷,2024-01-06 15:00,13.2,1.7,180.0,42.0,6.3,0.5,1013.7,1019.9,0.0,0.0,4755.0,21.2
¼­±ÍÆ÷,2024-01-06 16:00,13.1,1.5,200.0,37.0,5.6,-1.2,1014.0,1020.2,0.0,0.0,5000.0,17.0
¼­±ÍÆ÷,2024-01-06 17:00,12.2,2.6,200.0,44.0,6.2,0.2,1014.5,1020.8,6.0,0.0,5000.0,12.4
¼­±ÍÆ÷,2024-01-06 18:00,10.8,0.6,180.0,44.0,5.7,-0.9,1014.7,1021.0,4.0,0.0,5000.0,8.3
¼­±ÍÆ÷,2024-01-06 19:00,9.2,1.3,360.0,50.0,5.8,-0.7,1015.4,1021.7,8.0,6.0,4874.0,7.2
¼­±ÍÆ÷,2024-01-06 20:00,9.4,1.2,250.0,39.0,4.6,-3.8,1015.8,1022.1,7.0,7.0,5000.0,6.8
¼­±ÍÆ÷,2024-01-06 21:00,8.4,0.8,250.0,37.0,4.1,-5.4,1016.4,1022.8,4.0,0.0,5000.0,4.9
¼­±ÍÆ÷,2024-01-06 22:00,7.0,1.1,270.0,44.0,4.4,-4.4,1016.8,1023.2,0.0,0.0,5000.0,3.4
¼­±ÍÆ÷,2024-01-06 23:00,6.8,1.1,140.0,48.0,4.8,-3.4,1017.7,1024.1,0.0,0.0,5000.0,2.6
¼­±ÍÆ÷,2024-01-07 00:00,6.1,1.5,320.0,54.0,5.1,-2.5,1018.1,1024.5,0.0,0.0,5000.0,2.3
¼­±ÍÆ÷,2024-01-07 01:00,6.6,0.6,270.0,50.0,4.9,-3.1,1018.0,1024.4,4.0,0.0,4336.0,2.2
¼­±ÍÆ÷,2024-01-07 02:00,6.9,1.4,360.0,51.0,5.1,-2.5,1017.7,1024.1,2.0,2.0,4000.0,2.3
¼­±ÍÆ÷,2024-01-07 03:00,7.0,1.3,290.0,51.0,5.1,-2.4,1017.6,1024.0,8.0,8.0,3134.0,3.2
¼­±ÍÆ÷,2024-01-07 04:00,6.9,2.0,360.0,48.0,4.8,-3.3,1017.3,1023.7,4.0,4.0,2597.0,2.4
¼­±ÍÆ÷,2024-01-07 05:00,6.6,1.8,360.0,45.0,4.4,-4.5,1017.4,1023.8,3.0,3.0,3270.0,2.0
¼­±ÍÆ÷,2024-01-07 06:00,6.4,2.5,290.0,55.0,5.3,-2.0,1017.6,1024.0,7.0,7.0,3688.0,3.1
¼­±ÍÆ÷,2024-01-07 07:00,6.6,1.5,320.0,44.0,4.3,-4.8,1017.9,1024.3,6.0,6.0,4759.0,2.0
¼­±ÍÆ÷,2024-01-07 08:00,5.9,2.3,360.0,52.0,4.8,-3.2,1018.7,1025.2,6.0,6.0,3835.0,2.1
¼­±ÍÆ÷,2024-01-07 09:00,6.0,2.8,340.0,47.0,4.4,-4.4,1019.3,1025.8,2.0,2.0,4738.0,3.0
¼­±ÍÆ÷,2024-01-07 10:00,6.8,3.1,270.0,45.0,4.4,-4.3,1019.5,1025.9,0.0,0.0,5000.0,8.9
¼­±ÍÆ÷,2024-01-07 11:00,8.0,2.2,50.0,42.0,4.5,-4.1,1019.5,1025.9,0.0,0.0,5000.0,14.9
¼­±ÍÆ÷,2024-01-07 12:00,7.9,4.2,270.0,45.0,4.8,-3.3,1018.0,1024.4,2.0,2.0,5000.0,16.0
¼­±ÍÆ÷,2024-01-07 13:00,8.7,3.1,290.0,40.0,4.5,-4.1,1018.3,1024.7,2.0,2.0,5000.0,19.9
¼­±ÍÆ÷,2024-01-07 14:00,8.6,2.1,20.0,41.0,4.6,-3.9,1018.0,1024.4,0.0,0.0,5000.0,21.1
¼­±ÍÆ÷,2024-01-07 15:00,8.0,1.7,200.0,46.0,4.9,-2.9,1017.8,1024.2,1.0,1.0,5000.0,20.4
¼­±ÍÆ÷,2024-01-07 16:00,8.1,1.4,90.0,46.0,5.0,-2.8,1018.3,1024.7,0.0,0.0,5000.0,15.6
¼­±ÍÆ÷,2024-01-07 17:00,6.5,2.0,250.0,45.0,4.3,-4.6,1018.9,1025.3,1.0,1.0,5000.0,10.1
¼­±ÍÆ÷,2024-01-07 18:00,5.5,0.5,70.0,50.0,4.5,-4.1,1019.5,1026.0,0.0,0.0,4873.0,5.9
¼­±ÍÆ÷,2024-01-07 19:00,5.3,1.8,50.0,52.0,4.6,-3.7,1019.8,1026.3,8.0,0.0,5000.0,4.1
¼­±ÍÆ÷,2024-01-07 20:00,5.0,0.3,0.0,54.0,4.7,-3.5,1020.1,1026.6,1.0,1.0,4999.0,3.3
¼­±ÍÆ÷,2024-01-07 21:00,5.1,1.0,340.0,56.0,4.9,-2.9,1020.5,1027.0,8.0,8.0,5000.0,4.3
¼­±ÍÆ÷,2024-01-07 22:00,4.8,0.5,270.0,58.0,5.0,-2.7,1020.7,1027.2,9.0,9.0,5000.0,4.5
¼­±ÍÆ÷,2024-01-07 23:00,5.3,1.4,360.0,56.0,5.0,-2.7,1020.7,1027.2,5.0,5.0,5000.0,4.3
¼­±ÍÆ÷,2024-01-08 00:00,4.6,0.8,290.0,58.0,4.9,-2.9,1020.9,1027.4,8.0,8.0,5000.0,4.3
¼­±ÍÆ÷,2024-01-08 01:00,4.4,1.4,360.0,62.0,5.2,-2.2,1020.8,1027.3,2.0,2.0,5000.0,3.7
¼­±ÍÆ÷,2024-01-08 02:00,4.7,1.1,20.0,60.0,5.1,-2.4,1020.6,1027.1,2.0,2.0,5000.0,3.6
¼­±ÍÆ÷,2024-01-08 03:00,4.7,0.9,360.0,62.0,5.3,-1.9,1020.4,1026.9,8.0,8.0,5000.0,3.6
¼­±ÍÆ÷,2024-01-08 04:00,4.6,0.4,0.0,65.0,5.5,-1.4,1020.4,1026.9,9.0,9.0,5000.0,3.9
¼­±ÍÆ÷,2024-01-08 05:00,4.6,0.5,290.0,63.0,5.4,-1.8,1020.4,1026.9,8.0,8.0,5000.0,4.0
¼­±ÍÆ÷,2024-01-08 06:00,4.0,1.2,20.0,67.0,5.5,-1.5,1019.8,1026.3,7.0,6.0,5000.0,2.4
¼­±ÍÆ÷,2024-01-08 07:00,3.7,1.2,20.0,67.0,5.4,-1.8,1020.4,1026.9,8.0,7.0,5000.0,2.7
¼­±ÍÆ÷,2024-01-08 08:00,4.4,0.9,360.0,63.0,5.3,-2.0,1020.9,1027.4,8.0,7.0,5000.0,3.8
¼­±ÍÆ÷,2024-01-08 09:00,5.3,0.7,20.0,63.0,5.6,-1.1,1021.0,1027.5,9.0,9.0,4987.0,5.1
¼­±ÍÆ÷,2024-01-08 10:00,5.9,0.5,50.0,63.0,5.8,-0.6,1021.4,1027.9,9.0,9.0,4979.0,8.1
