지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
100,대관령,2024-01-01 11:00,-1.7,,,9.0,1.8,,270.0,,92.0,,5.0,-2.8,937.2,,1031.9,,0.0,,0.12,,18.6,,9.0,9.0,,3.0,-1.4,,,,,
100,대관령,2024-01-01 12:00,-0.9,,,9.0,1.6,,250.0,,86.0,,4.9,-2.9,936.3,,1030.5,,0.0,,0.28,,18.5,,9.0,9.0,,8.0,-1.4,,,,,
100,대관령,2024-01-01 13:00,-0.4,,,9.0,2.4,,290.0,,78.0,,4.6,-3.7,935.5,,1029.4,,0.0,,0.24,,18.2,,8.0,8.0,,7.0,-1.3,,,,,
100,대관령,2024-01-01 14:00,0.2,,,9.0,2.8,,270.0,,75.0,,4.6,-3.7,934.6,,1028.2,,0.0,,0.22,,18.1,,8.0,8.0,,6.0,-1.3,,,,,
100,대관령,2024-01-01 15:00,0.1,,,9.0,3.9,,270.0,,73.0,,4.5,-4.1,934.2,,1027.8,,0.0,,0.21,,18.0,,9.0,9.0,,8.0,-1.3,,,,,
100,대관령,2024-01-01 16:00,-0.2,,,9.0,4.1,,270.0,,75.0,,4.5,-4.1,933.9,,1027.6,,0.0,,0.13,,17.8,,9.0,9.0,,8.0,-1.3,,,,,
100,대관령,2024-01-01 17:00,-0.4,,,9.0,3.6,,270.0,,78.0,,4.6,-3.7,933.5,,1027.2,,0.0,,0.02,,17.8,,8.0,8.0,,7.0,-1.3,,,,,
100,대관령,2024-01-01 18:00,-0.4,,,9.0,3.5,,270.0,,80.0,,4.8,-3.4,933.5,,1027.2,,0.0,,0.0,,17.8,,3.0,3.0,,8.0,-1.3,,,,,
100,대관령,2024-01-01 19:00,-0.3,,,9.0,4.7,,270.0,,78.0,,4.7,-3.6,932.9,,1026.5,,,9.0,,9.0,17.8,,7.0,7.0,,7.0,-1.3,,,,,
100,대관령,2024-01-01 20:00,-0.5,,,9.0,4.0,,270.0,,81.0,,4.8,-3.3,932.5,,1026.2,,,9.0,,9.0,17.8,,8.0,8.0,,7.0,-1.3,,,,,
100,대관령,2024-01-01 21:00,-0.5,,,9.0,3.8,,290.0,,83.0,,4.9,-3.0,932.2,,1025.9,,,9.0,,9.0,17.7,,0.0,0.0,,,-1.3,,,,,
100,대관령,2024-01-01 22:00,-0.4,,,9.0,4.8,,270.0,,80.0,,4.8,-3.4,932.0,,1025.6,,,9.0,,9.0,17.7,,9.0,9.0,,7.0,-1.3,,,,,
100,대관령,2024-01-01 23:00,-0.5,,,9.0,3.3,,290.0,,83.0,,4.9,-3.0,931.6,,1025.2,,,9.0,,9.0,17.7,,0.0,0.0,,,-1.3,,,,,
100,대관령,2024-01-02 00:00,-0.5,,,9.0,7.2,,290.0,,87.0,,5.1,-2.4,930.9,,1024.4,,,9.0,,9.0,17.7,,2.0,2.0,,,-1.3,,,,,
100,대관령,2024-01-02 01:00,-0.7,,,,5.7,,290.0,,87.0,,5.1,-2.5,930.1,,1023.6,,,9.0,,9.0,17.7,,2.0,2.0,,3.0,-1.3,,,,,
100,대관령,2024-01-02 02:00,-0.8,,,,6.3,,290.0,,84.0,,4.9,-3.1,929.9,,1023.5,,,9.0,,9.0,17.6,,0.0,0.0,,,-1.3,,,,,
100,대관령,2024-01-02 03:00,-0.7,,,,8.4,,290.0,,84.0,,4.9,-3.0,929.5,,1023.0,,,9.0,,9.0,17.6,,0.0,0.0,,,-1.3,,,,,
100,대관령,2024-01-02 04:00,-1.2,,,,8.0,,270.0,,84.0,,4.7,-3.5,929.2,,1022.9,,,9.0,,9.0,17.6,,0.0,0.0,,,-1.3,,,,,
100,대관령,2024-01-02 05:00,-1.4,,,,6.8,,270.0,,83.0,,4.6,-3.9,928.8,,1022.5,,,9.0,,9.0,17.6,,7.0,7.0,,4.0,-1.3,,,,,
100,대관령,2024-01-02 06:00,-1.4,,,,6.2,,270.0,,79.0,,4.4,-4.5,928.9,,1022.6,,,9.0,,9.0,17.6,,9.0,9.0,,5.0,-1.3,,,,,
100,대관령,2024-01-02 07:00,-1.8,,,,6.0,,270.0,,78.0,,4.2,-5.1,929.2,,1023.1,,,9.0,,9.0,17.6,,10.0,10.0,,4.0,-1.3,,,,,
100,대관령,2024-01-02 08:00,-1.7,,,,6.6,,270.0,,77.0,,4.2,-5.2,929.4,,1023.3,,0.0,,0.01,,17.5,,9.0,9.0,,7.0,-1.3,,,,,
100,대관령,2024-01-02 09:00,-1.8,,,,6.0,,270.0,,78.0,,4.2,-5.1,929.6,,1023.6,,0.0,,0.07,,17.5,,9.0,9.0,,6.0,-1.3,,,,,
100,대관령,2024-01-02 10:00,-1.4,,,,6.6,,270.0,,77.0,,4.2,-4.9,929.4,,1023.2,,0.2,,0.35,,17.2,,7.0,7.0,,6.0,-1.3,,,,,
100,대관령,2024-01-02 11:00,-0.9,,,,10.3,,270.0,,73.0,,4.2,-5.1,928.4,,1021.8,,0.6,,0.99,,17.2,,6.0,5.0,,7.0,-1.3,,,,,
100,대관령,2024-01-02 12:00,-0.7,,,,8.7,,270.0,,72.0,,4.2,-5.1,928.0,,1021.3,,0.7,,1.68,,17.2,,6.0,6.0,,6.0,-1.2,,,,,
100,대관령,2024-01-02 13:00,-0.6,,,,9.0,,270.0,,73.0,,4.3,-4.8,927.9,,1021.2,,0.5,,1.64,,17.1,,4.0,4.0,,6.0,-1.2,,,,,
100,대관령,2024-01-02 14:00,-0.4,,,,7.1,,270.0,,70.0,,4.2,-5.2,927.4,,1020.5,,0.9,,1.68,,17.1,,5.0,3.0,,6.0,-1.0,,,,,
100,대관령,2024-01-02 15:00,-0.5,,,,7.4,,270.0,,71.0,,4.2,-5.1,927.1,,1020.2,,1.0,,1.3,,17.1,,3.0,1.0,,6.0,-1.0,,,,,
100,대관령,2024-01-02 16:00,-1.2,,,,6.8,,270.0,,76.0,,4.3,-4.8,927.4,,1020.9,,0.3,,0.59,,17.1,,6.0,6.0,,5.0,-1.2,,,,,
100,대관령,2024-01-02 17:00,-1.5,,,,8.6,,270.0,,80.0,,4.4,-4.5,927.5,,1021.1,,0.0,,0.19,,17.1,,8.0,8.0,,5.0,-1.2,,,,,
100,대관령,2024-01-02 18:00,-1.9,,,,4.3,,270.0,,82.0,,4.4,-4.5,927.9,,1021.7,,0.0,,0.0,,17.1,,10.0,10.0,,4.0,-1.2,,,,,
100,대관령,2024-01-02 19:00,-2.3,,,,4.1,,290.0,,83.0,,4.3,-4.8,928.1,,1022.0,,,9.0,,9.0,17.1,,10.0,10.0,,4.0,-1.2,,,,,
100,대관령,2024-01-02 20:00,-2.5,,,,3.6,,270.0,,82.0,,4.2,-5.1,928.2,,1022.2,,,9.0,,9.0,17.1,,10.0,10.0,,4.0,-1.3,,,,,
100,대관령,2024-01-02 21:00,-2.5,,,,3.8,,270.0,,84.0,,4.3,-4.8,928.3,,1022.3,,,9.0,,9.0,17.1,,10.0,10.0,,4.0,-1.3,,,,,
100,대관령,2024-01-02 22:00,-2.8,,,,1.8,,290.0,,84.0,,4.2,-5.1,928.1,,1022.2,,,9.0,,9.0,17.1,,10.0,10.0,,4.0,-1.3,,,,,
100,대관령,2024-01-02 23:00,-3.1,,,,1.9,,290.0,,84.0,,4.1,-5.4,927.8,,1022.0,,,9.0,,9.0,17.1,,10.0,10.0,,4.0,-1.3,,,,,
100,대관령,2024-01-03 00:00,-3.5,,,,1.7,,290.0,,85.0,,4.0,-5.6,927.6,,1021.9,,,9.0,,9.0,17.1,,10.0,10.0,,,-1.3,,,,,
100,대관령,2024-01-03 01:00,-3.5,,,,1.5,,290.0,,85.0,,4.0,-5.6,927.2,,1021.5,,,9.0,,9.0,17.1,,10.0,10.0,,4.0,-1.3,,,,,
100,대관령,2024-01-03 02:00,-3.8,,,,1.7,,320.0,,86.0,,4.0,-5.8,926.9,,1021.2,,,9.0,,9.0,17.1,,10.0,8.0,,4.0,-1.3,,,,,
100,대관령,2024-01-03 03:00,-3.5,,,,2.0,,320.0,,86.0,,4.1,-5.5,926.9,,1021.1,,,9.0,,9.0,17.1,,10.0,9.0,,4.0,-1.3,,,,,
100,대관령,2024-01-03 04:00,-3.8,,,,1.5,,290.0,,86.0,,4.0,-5.8,926.5,,1020.8,,,9.0,,9.0,17.1,,10.0,8.0,,4.0,-1.3,,,,,
100,대관령,2024-01-03 05:00,-3.6,,,,2.1,,270.0,,86.0,,4.0,-5.6,926.1,,1020.3,,,9.0,,9.0,17.0,,10.0,9.0,,5.0,-1.3,,,,,
100,대관령,2024-01-03 06:00,-3.6,,,,2.0,,290.0,,86.0,,4.0,-5.6,925.9,,1020.1,,,9.0,,9.0,17.0,,10.0,10.0,,5.0,-1.3,,,,,
100,대관령,2024-01-03 07:00,-3.8,,,,2.0,,290.0,,89.0,,4.1,-5.3,925.6,,1019.8,,,9.0,,9.0,17.0,,10.0,6.0,,6.0,-1.3,,,,,
100,대관령,2024-01-03 08:00,-4.0,,,,1.7,,320.0,,90.0,,4.1,-5.4,925.5,,1019.8,,0.0,,0.0,,17.0,,10.0,7.0,,5.0,-1.3,,,,,
100,대관령,2024-01-03 09:00,-3.3,,,,3.8,,270.0,,87.0,,4.2,-5.1,925.6,,1019.6,,0.0,,0.15,,17.0,,10.0,10.0,,5.0,-1.3,,,,,
100,대관령,2024-01-03 10:00,-2.8,,,,3.9,,270.0,,81.0,,4.0,-5.6,925.7,,1019.5,,0.0,,0.48,,16.8,,9.0,9.0,,5.0,-1.3,,,,,
100,대관령,2024-01-03 11:00,-1.6,,,,4.1,,270.0,,75.0,,4.1,-5.4,925.3,,1018.7,,0.2,,0.98,,16.7,,6.0,6.0,,5.0,-1.3,,,,,
100,대관령,2024-01-03 12:00,-0.7,,,,4.2,,250.0,,69.0,,4.0,-5.6,924.7,,1017.7,,0.7,,1.87,,16.5,,6.0,6.0,,6.0,-1.0,,,,,
100,대관령,2024-01-03 13:00,-0.7,,,,5.2,,270.0,,64.0,,3.7,-6.6,924.1,,1017.0,,0.7,,1.8,,16.2,,7.0,7.0,,8.0,-1.0,,,,,
100,대관령,2024-01-03 14:00,-1.0,,,,5.8,,290.0,,68.0,,3.9,-6.1,923.8,,1016.8,,0.4,,1.43,,16.2,,7.0,7.0,,8.0,-1.0,,,,,
100,대관령,2024-01-03 15:00,-1.4,,,,5.2,,270.0,,70.0,,3.9,-6.1,924.0,,1017.2,,0.3,,0.91,,16.2,,6.0,6.0,,8.0,-1.0,,,,,
100,대관령,2024-01-03 16:00,-1.8,,,,4.0,,290.0,,75.0,,4.0,-5.6,924.2,,1017.6,,0.0,,0.35,,16.2,,6.0,6.0,,9.0,-1.0,,,,,
100,대관령,2024-01-03 17:00,-1.9,,,,3.8,,270.0,,74.0,,3.9,-5.9,924.8,,1018.3,,0.0,,0.19,,16.2,,2.0,2.0,,6.0,-1.0,,,,,
100,대관령,2024-01-03 18:00,-2.5,,,,4.0,,270.0,,79.0,,4.0,-5.6,925.2,,1018.9,,0.0,,0.0,,16.2,,6.0,6.0,,9.0,-1.2,,,,,
100,대관령,2024-01-03 19:00,-2.8,,,,1.8,,290.0,,76.0,,3.8,-6.4,925.8,,1019.6,,,9.0,,9.0,16.2,,1.0,1.0,,7.0,-1.2,,,,,
100,대관령,2024-01-03 20:00,-2.8,,,,1.7,,250.0,,78.0,,3.9,-6.1,926.4,,1020.3,,,9.0,,9.0,16.2,,5.0,5.0,,7.0,-1.2,,,,,
100,대관령,2024-01-03 21:00,-3.8,,,,2.4,,270.0,,80.0,,3.7,-6.7,926.6,,1020.9,,,9.0,,9.0,16.2,,1.0,1.0,,7.0,-1.3,,,,,
100,대관령,2024-01-03 22:00,-4.5,,,,3.7,,290.0,,79.0,,3.5,-7.5,927.3,,1022.0,,,9.0,,9.0,16.2,,1.0,1.0,,8.0,-1.3,,,,,
100,대관령,2024-01-03 23:00,-5.6,,,,1.4,,270.0,,81.0,,3.3,-8.3,927.5,,1022.6,,,9.0,,9.0,16.2,,0.0,0.0,,,-1.3,,,,,
100,대관령,2024-01-04 00:00,-9.2,,,,1.5,,360.0,,85.0,,2.6,-11.2,927.6,,1024.1,,,9.0,,9.0,16.2,,0.0,0.0,,,-1.4,,,,,
100,대관령,2024-01-04 01:00,-10.6,,,,1.9,,340.0,,88.0,,2.4,-12.2,927.8,,1024.9,,,9.0,,9.0,16.2,,0.0,0.0,,,-1.5,,,,,
100,대관령,2024-01-04 02:00,-7.8,,,,0.6,,320.0,,90.0,,3.1,-9.1,928.0,,1023.9,,,9.0,,9.0,16.2,,0.0,0.0,,,-1.7,,,,,
100,대관령,2024-01-04 03:00,-9.8,,,,2.3,,340.0,,90.0,,2.6,-11.1,928.2,,1025.0,,,9.0,,9.0,16.2,,0.0,0.0,,,-1.8,,,,,
100,대관령,2024-01-04 04:00,-8.9,,,,1.3,,320.0,,91.0,,2.8,-10.1,928.2,,1024.6,,,9.0,,9.0,16.2,,0.0,0.0,,,-1.8,,,,,
100,대관령,2024-01-04 05:00,-9.6,,,,1.6,,340.0,,92.0,,2.7,-10.6,928.4,,1025.1,,,9.0,,9.0,16.2,,1.0,1.0,,3.0,-1.8,,,,,
100,대관령,2024-01-04 06:00,-7.6,,,,2.7,,320.0,,91.0,,3.1,-8.8,928.6,,1024.5,,,9.0,,9.0,16.2,,1.0,1.0,,3.0,-1.8,,,,,
100,대관령,2024-01-04 07:00,-7.5,,,,3.4,,290.0,,90.0,,3.1,-8.8,929.1,,1025.0,,,9.0,,9.0,16.1,,0.0,0.0,,,-1.9,,,,,
100,대관령,2024-01-04 08:00,-8.0,,,,3.0,,320.0,,91.0,,3.0,-9.2,929.3,,1025.4,,0.0,,0.0,,16.1,,0.0,0.0,,,-1.9,,,,,
100,대관령,2024-01-04 09:00,-6.6,,,,2.3,,290.0,,88.0,,3.3,-8.2,929.5,,1025.2,,0.6,,0.35,,15.8,,0.0,0.0,,,-1.8,,,,,
100,대관령,2024-01-04 10:00,-5.0,,,,3.7,,320.0,,75.0,,3.2,-8.7,930.1,,1025.3,,1.0,,1.04,,15.6,,0.0,0.0,,,-1.8,,,,,
100,대관령,2024-01-04 11:00,-3.0,,,,5.4,,270.0,,58.0,,2.8,-10.1,929.7,,1024.0,,1.0,,1.8,,15.6,,0.0,0.0,,,-1.7,,,,,
100,대관령,2024-01-04 12:00,-1.8,,,,6.0,,270.0,,57.0,,3.0,-9.2,929.1,,1023.0,,1.0,,2.22,,15.6,,0.0,0.0,,,-1.5,,,,,
100,대관령,2024-01-04 13:00,-0.9,,,,3.5,,270.0,,51.0,,2.9,-9.7,928.6,,1022.1,,1.0,,2.01,,15.6,,0.0,0.0,,,-1.4,,,,,
100,대관령,2024-01-04 14:00,-0.5,,,,4.0,,290.0,,51.0,,3.0,-9.4,928.1,,1021.3,,1.0,,1.86,,15.6,,0.0,0.0,,,-1.3,,,,,
100,대관령,2024-01-04 15:00,-0.7,,,,4.1,,320.0,,56.0,,3.2,-8.4,927.8,,1021.1,,1.0,,1.52,,15.5,,0.0,0.0,,,-1.3,,,,,
100,대관령,2024-01-04 16:00,-1.3,,,,6.6,,290.0,,59.0,,3.3,-8.2,927.4,,1020.9,,1.0,,1.01,,15.6,,0.0,0.0,,,-1.3,,,,,
100,대관령,2024-01-04 17:00,-3.3,,,,6.7,,290.0,,69.0,,3.3,-8.1,927.4,,1021.6,,1.0,,0.33,,15.6,,4.0,1.0,,2.0,-1.3,,,,,
100,대관령,2024-01-04 18:00,-4.6,,,,6.5,,270.0,,78.0,,3.4,-7.8,927.8,,1022.6,,0.0,,0.01,,15.6,,0.0,0.0,,,-1.4,,,,,
100,대관령,2024-01-04 19:00,-4.6,,,,7.2,,270.0,,80.0,,3.5,-7.5,927.9,,1022.7,,,9.0,,9.0,15.6,,0.0,0.0,,,-1.5,,,,,
100,대관령,2024-01-04 20:00,-3.8,,,,7.2,,270.0,,80.0,,3.7,-6.7,927.7,,1022.1,,,9.0,,9.0,15.6,,1.0,1.0,,4.0,-1.5,,,,,
100,대관령,2024-01-04 21:00,-3.1,,,,6.3,,270.0,,79.0,,3.8,-6.2,928.0,,1022.2,,,9.0,,9.0,15.6,,8.0,8.0,,5.0,-1.5,,,,,
100,대관령,2024-01-04 22:00,-3.0,,,,5.3,,270.0,,79.0,,3.9,-6.1,927.7,,1021.8,,,9.0,,9.0,15.6,,7.0,7.0,,5.0,-1.5,,,,,
100,대관령,2024-01-04 23:00,-2.5,,,,6.3,,270.0,,78.0,,4.0,-5.8,926.9,,1020.7,,,9.0,,9.0,15.6,,7.0,7.0,,5.0,-1.5,,,,,
100,대관령,2024-01-05 00:00,-1.9,,,,8.9,,270.0,,77.0,,4.1,-5.4,925.5,,1019.1,,,9.0,,9.0,15.6,,4.0,4.0,,,-1.5,,,,,
100,대관령,2024-01-05 01:00,-1.3,,,,10.0,,270.0,,79.0,,4.4,-4.4,925.4,,1018.7,,,9.0,,9.0,15.6,,4.0,4.0,,5.0,-1.5,,,,,
100,대관령,2024-01-05 02:00,-0.7,,,,11.1,,290.0,,78.0,,4.5,-4.0,925.3,,1018.4,,,9.0,,9.0,15.6,,0.0,0.0,,,-1.5,,,,,
100,대관령,2024-01-05 03:00,-0.5,,,,11.8,,290.0,,80.0,,4.7,-3.5,925.5,,1018.5,,,9.0,,9.0,15.6,,5.0,5.0,,5.0,-1.4,,,,,
100,대관령,2024-01-05 04:00,0.0,,,,11.6,,290.0,,81.0,,5.0,-2.8,925.2,,1017.9,,,9.0,,9.0,15.5,,9.0,9.0,,5.0,-1.4,,,,,
100,대관령,2024-01-05 05:00,0.1,,,,13.1,,290.0,,80.0,,4.9,-2.9,924.8,,1017.5,,,9.0,,9.0,15.5,,0.0,0.0,,,-1.4,,,,,
100,대관령,2024-01-05 06:00,0.4,,,,11.7,,290.0,,82.0,,5.2,-2.3,925.0,,1017.6,,,9.0,,9.0,15.5,,7.0,7.0,,3.0,-1.4,,,,,
100,대관령,2024-01-05 07:00,0.5,,,,11.0,,290.0,,86.0,,5.5,-1.5,925.5,,1018.1,,,9.0,,9.0,15.3,,0.0,0.0,,,-1.3,,,,,
100,대관령,2024-01-05 08:00,0.6,,,,11.2,,290.0,,90.0,,5.8,-0.8,925.9,,1018.5,,0.0,,0.0,,15.3,,2.0,2.0,,2.0,-1.3,,,,,
100,대관령,2024-01-05 09:00,0.8,,,,10.5,,270.0,,87.0,,5.6,-1.1,926.2,,1018.7,,0.0,,0.18,,15.1,,3.0,3.0,,4.0,-1.3,,,,,
100,대관령,2024-01-05 10:00,1.3,,,,11.9,,270.0,,83.0,,5.6,-1.2,926.6,,1018.9,,0.0,,0.48,,15.1,,8.0,7.0,,5.0,-1.3,,,,,
100,대관령,2024-01-05 11:00,1.5,,,,11.7,,270.0,,81.0,,5.5,-1.4,926.8,,1019.1,,0.1,,0.74,,15.0,,7.0,7.0,,3.0,-1.2,,,,,
100,대관령,2024-01-05 12:00,1.7,,,,11.4,,290.0,,77.0,,5.3,-1.9,926.2,,1018.3,,0.2,,1.16,,14.6,,7.0,4.0,,5.0,-1.1,,,,,
100,대관령,2024-01-05 13:00,2.2,,,,12.1,,270.0,,72.0,,5.2,-2.3,925.7,,1017.6,,0.8,,1.83,,14.1,,6.0,3.0,,5.0,-0.9,,,,,
100,대관령,2024-01-05 14:00,2.0,,,,10.3,,270.0,,70.0,,4.9,-2.9,925.4,,1017.3,,1.0,,1.77,,13.8,,2.0,1.0,,6.0,-0.9,,,,,
100,대관령,2024-01-05 15:00,2.0,,,,9.5,,270.0,,68.0,,4.8,-3.2,925.4,,1017.3,,1.0,,1.47,,13.5,,1.0,1.0,,6.0,-0.9,,,,,
100,대관령,2024-01-05 16:00,1.7,,,,6.9,,290.0,,70.0,,4.9,-3.1,925.8,,1017.9,,1.0,,0.89,,13.3,,0.0,0.0,,,-0.9,,,,,
100,대관령,2024-01-05 17:00,1.0,,,,6.9,,270.0,,73.0,,4.8,-3.3,925.9,,1018.3,,0.4,,0.26,,13.3,,0.0,0.0,,,-0.9,,,,,
100,대관령,2024-01-05 18:00,0.8,,,,7.5,,270.0,,74.0,,4.8,-3.3,926.2,,1018.7,,0.0,,0.01,,13.3,,0.0,0.0,,,-1.0,,,,,
100,대관령,2024-01-05 19:00,0.6,,,,7.7,,270.0,,74.0,,4.7,-3.5,926.2,,1018.8,,,9.0,,9.0,13.3,,0.0,0.0,,,-1.0,,,,,
100,대관령,2024-01-05 20:00,0.4,,,,8.3,,270.0,,70.0,,4.4,-4.4,926.4,,1019.1,,,9.0,,9.0,13.3,,0.0,0.0,,,-1.0,,,,,
100,대관령,2024-01-05 21:00,0.0,,,,7.5,,270.0,,70.0,,4.3,-4.8,926.4,,1019.3,,,9.0,,9.0,13.3,,0.0,0.0,,,-1.0,,,,,
100,대관령,2024-01-05 22:00,-0.5,,,,7.0,,270.0,,62.0,,3.7,-6.8,926.4,,1019.5,,,9.0,,9.0,13.3,,0.0,0.0,,,-1.2,,,,,
100,대관령,2024-01-05 23:00,-1.3,,,,6.0,,270.0,,65.0,,3.6,-7.0,926.7,,1020.1,,,9.0,,9.0,13.3,,0.0,0.0,,,-1.2,,,,,
100,대관령,2024-01-06 00:00,-1.9,,,,6.7,,270.0,,71.0,,3.8,-6.4,926.4,,1020.1,,,9.0,,9.0,13.3,,0.0,0.0,,,-1.3,,,,,
100,대관령,2024-01-06 01:00,-2.3,,,,6.7,,270.0,,71.0,,3.7,-6.8,926.3,,1020.0,,,9.0,,9.0,13.3,,0.0,0.0,,,-1.3,,,,,
100,대관령,2024-01-06 02:00,-2.8,,,,5.5,,290.0,,71.0,,3.5,-7.3,926.1,,1020.0,,,9.0,,9.0,13.3,,0.0,0.0,,,-1.3,,,,,
100,대관령,2024-01-06 03:00,-3.4,,,,6.1,,290.0,,78.0,,3.7,-6.6,926.3,,1020.4,,,9.0,,9.0,13.3,,1.0,1.0,,6.0,-1.4,,,,,
100,대관령,2024-01-06 04:00,-3.8,,,,5.6,,270.0,,78.0,,3.6,-7.0,926.1,,1020.4,,,9.0,,9.0,13.3,,1.0,1.0,,6.0,-1.5,,,,,
100,대관령,2024-01-06 05:00,-4.2,,,,4.7,,270.0,,77.0,,3.5,-7.6,926.0,,1020.4,,,9.0,,9.0,13.3,,0.0,0.0,,,-1.5,,,,,
100,대관령,2024-01-06 06:00,-4.7,,,,3.9,,270.0,,73.0,,3.1,-8.8,926.3,,1020.9,,,9.0,,9.0,13.3,,1.0,1.0,,6.0,-1.7,,,,,
100,대관령,2024-01-06 07:00,-5.0,,,,4.9,,270.0,,67.0,,2.8,-10.1,926.5,,1021.3,,,9.0,,9.0,13.3,,0.0,0.0,,,-1.7,,,,,
100,대관령,2024-01-06 08:00,-5.5,,,,5.4,,270.0,,73.0,,3.0,-9.5,927.0,,1022.0,,0.0,,0.0,,13.3,,0.0,0.0,,,-1.8,,,,,
100,대관령,2024-01-06 09:00,-5.0,,,,5.0,,270.0,,70.0,,3.0,-9.6,927.5,,1022.4,,0.6,,0.24,,13.3,,0.0,0.0,,,-1.8,,,,,
100,대관령,2024-01-06 10:00,-3.5,,,,4.0,,270.0,,61.0,,2.9,-9.9,928.0,,1022.3,,1.0,,0.86,,13.1,,0.0,0.0,,,-1.7,,,,,
100,대관령,2024-01-06 11:00,-2.5,,,,5.9,,270.0,,50.0,,2.5,-11.5,927.9,,1021.8,,1.0,,1.55,,13.1,,0.0,0.0,,,-1.5,,,,,
100,대관령,2024-01-06 12:00,-1.3,,,,6.1,,270.0,,39.0,,2.2,-13.5,927.3,,1020.8,,1.0,,1.89,,13.1,,0.0,0.0,,,-1.4,,,,,
100,대관령,2024-01-06 13:00,-0.5,,,,5.3,,290.0,,34.0,,2.0,-14.4,926.7,,1019.8,,1.0,,1.95,,13.1,,0.0,0.0,,,-1.3,,,,,
100,대관령,2024-01-06 14:00,-0.5,,,,5.0,,290.0,,31.0,,1.8,-15.5,926.6,,1019.7,,1.0,,1.86,,13.1,,0.0,0.0,,,-1.2,,,,,
100,대관령,2024-01-06 15:00,-0.5,,,,6.2,,290.0,,29.0,,1.7,-16.3,926.7,,1019.8,,1.0,,1.53,,13.1,,0.0,0.0,,,-1.1,,,,,
100,대관령,2024-01-06 16:00,-0.9,,,,4.5,,290.0,,36.0,,2.1,-14.1,926.7,,1020.0,,1.0,,0.98,,13.1,,0.0,0.0,,,-1.2,,,,,
100,대관령,2024-01-06 17:00,-2.1,,,,4.1,,290.0,,37.0,,1.9,-14.8,927.2,,1020.9,,0.9,,0.35,,13.3,,0.0,0.0,,,-1.2,,,,,
