¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,±‚ø¬(°∆C),±‚ø¬ QC«√∑°±◊,∞≠ºˆ∑Æ(mm),∞≠ºˆ∑Æ QC«√∑°±◊,«≥º”(m/s),«≥º” QC«√∑°±◊,«≥«‚(16πÊ¿ß),«≥«‚ QC«√∑°±◊,Ω¿µµ(%),Ω¿µµ QC«√∑°±◊,¡ı±‚æ–(hPa),¿ÃΩΩ¡°ø¬µµ(°∆C),«ˆ¡ˆ±‚æ–(hPa),«ˆ¡ˆ±‚æ– QC«√∑°±◊,«ÿ∏È±‚æ–(hPa),«ÿ∏È±‚æ– QC«√∑°±◊,¿œ¡∂(hr),¿œ¡∂ QC«√∑°±◊,¿œªÁ(MJ/m2),¿œªÁ QC«√∑°±◊,¿˚º≥(cm),3Ω√∞£Ω≈¿˚º≥(cm),¿¸øÓ∑Æ(10∫–¿ß),¡ﬂ«œ√˛øÓ∑Æ(10∫–¿ß),øÓ«¸(øÓ«¸æ‡æÓ),√÷¿˙øÓ∞Ì(100m ),¡ˆ∏Èø¬µµ(°∆C),¡ˆ∏Èø¬µµ QC«√∑°±◊,5cm ¡ˆ¡ﬂø¬µµ(°∆C),10cm ¡ˆ¡ﬂø¬µµ(°∆C),20cm ¡ˆ¡ﬂø¬µµ(°∆C),30cm ¡ˆ¡ﬂø¬µµ(°∆C)
271,∫¿»≠,2024-01-01 13:00,5.0,,,,0.8,,180.0,,62.0,,5.4,-1.6,988.7,,1028.6,,0.2,,,9.0,,,9.0,9.0,,12.0,8.8,,,,,
271,∫¿»≠,2024-01-01 14:00,5.2,,,,1.6,,140.0,,60.0,,5.3,-1.9,987.8,,1027.7,,0.2,,,9.0,,,9.0,8.0,,12.0,6.5,,,,,
271,∫¿»≠,2024-01-01 15:00,5.8,,,,1.8,,230.0,,57.0,,5.3,-2.0,987.4,,1027.1,,0.0,,,9.0,,,9.0,9.0,,11.0,4.8,,,,,
271,∫¿»≠,2024-01-01 16:00,5.7,,,,0.1,,0.0,,58.0,,5.3,-1.9,987.2,,1026.9,,0.0,,,9.0,,,8.0,8.0,,12.0,3.1,,,,,
271,∫¿»≠,2024-01-01 17:00,4.4,,,,0.0,,0.0,,74.0,,6.2,0.1,986.9,,1026.9,,0.0,,,9.0,,,8.0,8.0,,13.0,1.3,,,,,
271,∫¿»≠,2024-01-01 18:00,3.3,,,,0.0,,0.0,,81.0,,6.2,0.3,987.0,,1027.1,,0.0,,,9.0,,,5.0,5.0,,12.0,0.3,,,,,
271,∫¿»≠,2024-01-01 19:00,2.9,,,,0.0,,0.0,,83.0,,6.2,0.2,986.8,,1026.9,,,9.0,,9.0,,,0.0,0.0,,,0.0,,,,,
271,∫¿»≠,2024-01-01 20:00,2.1,,,,1.0,,340.0,,88.0,,6.2,0.3,986.4,,1026.6,,,9.0,,9.0,,,0.0,0.0,,,-0.6,,,,,
271,∫¿»≠,2024-01-01 21:00,1.7,,,,1.0,,360.0,,89.0,,6.1,0.0,986.0,,1026.3,,,9.0,,9.0,,,9.0,9.0,,13.0,0.1,,,,,
271,∫¿»≠,2024-01-01 22:00,1.6,,,,0.0,,0.0,,90.0,,6.2,0.1,986.0,,1026.3,,,9.0,,9.0,,,0.0,0.0,,,0.1,,,,,
271,∫¿»≠,2024-01-01 23:00,1.7,,,,0.2,,0.0,,90.0,,6.2,0.2,985.7,,1026.0,,,9.0,,9.0,,,6.0,6.0,,14.0,0.1,,,,,
271,∫¿»≠,2024-01-02 00:00,1.3,,,,0.9,,360.0,,92.0,,6.2,0.1,985.0,,1025.3,,,9.0,,9.0,,,0.0,0.0,,,0.1,,,,,
271,∫¿»≠,2024-01-02 01:00,0.8,,,,0.3,,0.0,,94.0,,6.1,0.0,984.5,,1024.9,,,9.0,,9.0,,,0.0,0.0,,,0.0,,,,,
271,∫¿»≠,2024-01-02 02:00,0.8,,,,0.1,,0.0,,95.0,,6.1,0.0,984.0,,1024.4,,,9.0,,9.0,,,2.0,2.0,,11.0,0.0,,,,,
271,∫¿»≠,2024-01-02 03:00,0.8,,,,0.1,,0.0,,95.0,,6.1,0.0,983.6,,1024.0,,,9.0,,9.0,,,5.0,5.0,,10.0,0.0,,,,,
271,∫¿»≠,2024-01-02 04:00,2.5,,,,1.6,,160.0,,87.0,,6.3,0.5,983.2,,1023.2,,,9.0,,9.0,,,8.0,8.0,,12.0,0.0,,,,,
271,∫¿»≠,2024-01-02 05:00,3.6,,,,1.9,,180.0,,80.0,,6.3,0.4,982.9,,1022.7,,,9.0,,9.0,,,0.0,0.0,,,0.1,,,,,
271,∫¿»≠,2024-01-02 06:00,3.2,,,,2.2,,180.0,,80.0,,6.1,0.0,982.8,,1022.7,,,9.0,,9.0,,,4.0,4.0,,9.0,0.1,,,,,
271,∫¿»≠,2024-01-02 07:00,3.9,,,,1.3,,250.0,,76.0,,6.1,0.0,982.9,,1022.7,,,9.0,,9.0,,,2.0,2.0,,8.0,0.1,,,,,
271,∫¿»≠,2024-01-02 08:00,3.3,,,,1.9,,200.0,,80.0,,6.2,0.1,983.1,,1023.0,,0.0,,,9.0,,,6.0,6.0,,11.0,0.2,,,,,
271,∫¿»≠,2024-01-02 09:00,3.9,,,,0.9,,270.0,,75.0,,6.1,-0.1,983.1,,1022.9,,0.0,,,9.0,,,8.0,8.0,,7.0,0.2,,,,,
271,∫¿»≠,2024-01-02 10:00,4.8,,,,1.6,,230.0,,66.0,,5.7,-1.0,983.0,,1022.7,,0.0,,,9.0,,,9.0,9.0,,10.0,0.4,,,,,
271,∫¿»≠,2024-01-02 11:00,4.7,,,,1.4,,250.0,,66.0,,5.6,-1.1,983.2,,1023.0,,0.0,,,9.0,,,9.0,9.0,,8.0,1.0,,,,,
271,∫¿»≠,2024-01-02 12:00,5.4,,,,1.9,,270.0,,62.0,,5.6,-1.3,981.9,,1021.5,,0.0,,,9.0,,,9.0,9.0,,10.0,6.5,,,,,
271,∫¿»≠,2024-01-02 13:00,6.1,,,,2.6,,230.0,,56.0,,5.3,-2.0,981.0,,1020.4,,0.6,,,9.0,,,8.0,7.0,,11.0,9.4,,,,,
271,∫¿»≠,2024-01-02 14:00,6.2,,,,2.0,,270.0,,55.0,,5.2,-2.1,980.3,,1019.7,,0.9,,,9.0,,,7.0,1.0,,66.0,9.8,,,,,
271,∫¿»≠,2024-01-02 15:00,5.9,,,,1.7,,320.0,,57.0,,5.3,-1.9,980.2,,1019.6,,1.0,,,9.0,,,8.0,1.0,,11.0,6.8,,,,,
271,∫¿»≠,2024-01-02 16:00,5.4,,,,2.2,,320.0,,58.0,,5.2,-2.2,980.4,,1019.9,,0.2,,,9.0,,,9.0,1.0,,74.0,3.9,,,,,
271,∫¿»≠,2024-01-02 17:00,4.6,,,,1.2,,320.0,,62.0,,5.3,-2.0,980.7,,1020.4,,0.0,,,9.0,,,10.0,1.0,,11.0,1.2,,,,,
271,∫¿»≠,2024-01-02 18:00,2.8,,,,0.6,,340.0,,71.0,,5.3,-1.9,980.9,,1020.8,,0.0,,,9.0,,,10.0,0.0,,,-0.5,,,,,
271,∫¿»≠,2024-01-02 19:00,2.0,,,,0.2,,0.0,,78.0,,5.5,-1.4,981.1,,1021.1,,,9.0,,9.0,,,10.0,0.0,,,0.1,,,,,
271,∫¿»≠,2024-01-02 20:00,1.8,,,,0.8,,160.0,,79.0,,5.5,-1.4,981.1,,1021.2,,,9.0,,9.0,,,10.0,0.0,,,0.1,,,,,
271,∫¿»≠,2024-01-02 21:00,0.9,,,,0.6,,200.0,,84.0,,5.5,-1.5,980.9,,1021.1,,,9.0,,9.0,,,9.0,0.0,,,0.0,,,,,
271,∫¿»≠,2024-01-02 22:00,0.4,,,,0.6,,360.0,,88.0,,5.6,-1.3,980.7,,1021.0,,,9.0,,9.0,,,8.0,0.0,,,0.0,,,,,
271,∫¿»≠,2024-01-02 23:00,0.4,,,,0.5,,110.0,,87.0,,5.5,-1.5,980.4,,1020.7,,,9.0,,9.0,,,10.0,0.0,,,0.0,,,,,
271,∫¿»≠,2024-01-03 00:00,0.4,,,,0.6,,140.0,,87.0,,5.5,-1.5,980.2,,1020.5,,,9.0,,9.0,,,10.0,0.0,,,0.0,,,,,
271,∫¿»≠,2024-01-03 01:00,0.3,,,,0.2,,0.0,,88.0,,5.5,-1.4,980.1,,1020.4,,,9.0,,9.0,,,10.0,0.0,,,0.0,,,,,
271,∫¿»≠,2024-01-03 02:00,0.2,,,,0.2,,0.0,,89.0,,5.5,-1.4,979.4,,1019.7,,,9.0,,9.0,,,10.0,0.0,,,0.0,,,,,
271,∫¿»≠,2024-01-03 03:00,0.2,,,,0.4,,0.0,,90.0,,5.6,-1.2,979.7,,1020.0,,,9.0,,9.0,,,10.0,3.0,,35.0,0.0,,,,,
271,∫¿»≠,2024-01-03 04:00,0.4,,,,0.0,,0.0,,90.0,,5.7,-1.0,979.4,,1019.7,,,9.0,,9.0,,,10.0,6.0,,21.0,0.0,,,,,
271,∫¿»≠,2024-01-03 05:00,0.4,,,,0.1,,0.0,,90.0,,5.7,-1.0,979.0,,1019.2,,,9.0,,9.0,,,10.0,10.0,,22.0,0.0,,,,,
271,∫¿»≠,2024-01-03 06:00,0.5,,,,0.0,,0.0,,90.0,,5.7,-0.9,979.0,,1019.2,,,9.0,,9.0,,,10.0,8.0,,8.0,0.0,,,,,
271,∫¿»≠,2024-01-03 07:00,0.5,,,,0.7,,160.0,,91.0,,5.8,-0.8,978.5,,1018.7,,,9.0,,9.0,,,10.0,6.0,,15.0,0.0,,,,,
271,∫¿»≠,2024-01-03 08:00,0.6,,,,0.1,,0.0,,93.0,,5.9,-0.4,978.2,,1018.4,,0.0,,,9.0,,,10.0,3.0,,29.0,0.0,,,,,
271,∫¿»≠,2024-01-03 09:00,1.0,,,,0.0,,0.0,,91.0,,6.0,-0.3,978.5,,1018.6,,0.0,,,9.0,,,10.0,3.0,,,0.1,,,,,
271,∫¿»≠,2024-01-03 10:00,2.4,,,,1.0,,140.0,,82.0,,6.0,-0.3,978.5,,1018.4,,0.1,,,9.0,,,9.0,9.0,,9.0,0.2,,,,,
271,∫¿»≠,2024-01-03 11:00,4.1,,,,3.5,,320.0,,60.0,,4.9,-2.9,977.9,,1017.4,,0.8,,,9.0,,,8.0,0.0,,,0.9,,,,,
271,∫¿»≠,2024-01-03 12:00,4.1,,,,2.9,,290.0,,57.0,,4.7,-3.6,977.2,,1016.7,,0.3,,,9.0,,,9.0,5.0,,11.0,1.5,,,,,
271,∫¿»≠,2024-01-03 13:00,4.0,,,,5.2,,320.0,,56.0,,4.5,-4.0,976.6,,1016.1,,0.5,,,9.0,,,8.0,1.0,,13.0,2.6,,,,,
271,∫¿»≠,2024-01-03 14:00,4.3,,,,3.8,,360.0,,58.0,,4.8,-3.2,976.4,,1016.0,,0.3,,,9.0,,,8.0,6.0,,12.0,4.2,,,,,
271,∫¿»≠,2024-01-03 15:00,3.9,,,,4.4,,340.0,,63.0,,5.1,-2.5,976.7,,1016.2,,0.0,,,9.0,,,9.0,9.0,,9.0,2.4,,,,,
271,∫¿»≠,2024-01-03 16:00,4.4,,,,3.8,,340.0,,55.0,,4.6,-3.8,977.2,,1016.8,,0.4,,,9.0,,,9.0,8.0,,11.0,1.8,,,,,
271,∫¿»≠,2024-01-03 17:00,3.6,,,,1.9,,340.0,,57.0,,4.5,-4.1,977.5,,1017.1,,0.2,,,9.0,,,7.0,7.0,,13.0,0.0,,,,,
271,∫¿»≠,2024-01-03 18:00,2.1,,,,0.2,,0.0,,69.0,,4.9,-3.0,978.0,,1017.9,,0.0,,,9.0,,,0.0,0.0,,,0.1,,,,,
271,∫¿»≠,2024-01-03 19:00,2.3,,,,0.5,,320.0,,69.0,,5.0,-2.8,978.7,,1018.6,,,9.0,,9.0,,,3.0,3.0,,9.0,0.1,,,,,
271,∫¿»≠,2024-01-03 20:00,2.7,,,,0.5,,340.0,,71.0,,5.3,-2.0,979.0,,1018.8,,,9.0,,9.0,,,0.0,0.0,,,0.1,,,,,
271,∫¿»≠,2024-01-03 21:00,2.5,,,,1.4,,140.0,,73.0,,5.4,-1.8,979.4,,1019.3,,,9.0,,9.0,,,2.0,2.0,,8.0,0.0,,,,,
271,∫¿»≠,2024-01-03 22:00,1.8,,,,0.6,,290.0,,68.0,,4.8,-3.4,979.9,,1019.9,,,9.0,,9.0,,,0.0,0.0,,,-0.1,,,,,
271,∫¿»≠,2024-01-03 23:00,2.0,,,,0.6,,70.0,,66.0,,4.7,-3.6,980.3,,1020.3,,,9.0,,9.0,,,9.0,8.0,,10.0,0.0,,,,,
271,∫¿»≠,2024-01-04 00:00,2.1,,,,0.7,,320.0,,63.0,,4.5,-4.2,980.5,,1020.5,,,9.0,,9.0,,,8.0,8.0,,,-0.1,,,,,
271,∫¿»≠,2024-01-04 01:00,1.4,,,,1.7,,320.0,,64.0,,4.3,-4.6,980.9,,1021.0,,,9.0,,9.0,,,0.0,0.0,,,-0.4,,,,,
271,∫¿»≠,2024-01-04 02:00,0.4,,,,1.1,,320.0,,70.0,,4.4,-4.4,981.3,,1021.6,,,9.0,,9.0,,,0.0,0.0,,,-0.6,,,,,
271,∫¿»≠,2024-01-04 03:00,0.3,,,,1.5,,320.0,,68.0,,4.2,-4.9,981.3,,1021.7,,,9.0,,9.0,,,0.0,0.0,,,-0.9,,,,,
271,∫¿»≠,2024-01-04 04:00,-1.6,,,,0.2,,0.0,,84.0,,4.6,-3.9,981.6,,1022.2,,,9.0,,9.0,,,0.0,0.0,,,-1.3,,,,,
271,∫¿»≠,2024-01-04 05:00,-2.3,,,,0.4,,0.0,,88.0,,4.5,-4.0,981.8,,1022.6,,,9.0,,9.0,,,0.0,0.0,,,-1.8,,,,,
271,∫¿»≠,2024-01-04 06:00,-2.7,,,,0.6,,180.0,,90.0,,4.5,-4.1,982.2,,1023.0,,,9.0,,9.0,,,2.0,0.0,,,-2.1,,,,,
271,∫¿»≠,2024-01-04 07:00,-3.6,,,,0.5,,20.0,,92.0,,4.3,-4.7,983.1,,1024.1,,,9.0,,9.0,,,0.0,0.0,,,-2.5,,,,,
271,∫¿»≠,2024-01-04 08:00,-4.0,,,,0.1,,0.0,,93.0,,4.2,-4.9,983.7,,1024.8,,0.0,,,9.0,,,0.0,0.0,,,-2.6,,,,,
271,∫¿»≠,2024-01-04 09:00,-3.0,,,,0.8,,140.0,,90.0,,4.4,-4.4,984.0,,1025.0,,0.9,,,9.0,,,0.0,0.0,,,-0.9,,,,,
271,∫¿»≠,2024-01-04 10:00,-0.5,,,,0.9,,160.0,,76.0,,4.5,-4.2,984.0,,1024.6,,1.0,,,9.0,,,0.0,0.0,,,0.5,,,,,
271,∫¿»≠,2024-01-04 11:00,2.0,,,,2.2,,180.0,,64.0,,4.5,-4.1,983.9,,1024.1,,0.9,,,9.0,,,0.0,0.0,,,0.6,,,,,
271,∫¿»≠,2024-01-04 12:00,3.4,,,,2.2,,230.0,,54.0,,4.2,-5.0,982.8,,1022.7,,1.0,,,9.0,,,0.0,0.0,,,1.7,,,,,
271,∫¿»≠,2024-01-04 13:00,4.5,,,,3.0,,180.0,,47.0,,4.0,-5.8,981.9,,1021.6,,1.0,,,9.0,,,0.0,0.0,,,3.6,,,,,
271,∫¿»≠,2024-01-04 14:00,5.0,,,,3.1,,230.0,,44.0,,3.8,-6.2,981.3,,1020.9,,1.0,,,9.0,,,0.0,0.0,,,4.8,,,,,
271,∫¿»≠,2024-01-04 15:00,5.0,,,,3.0,,230.0,,42.0,,3.7,-6.8,981.0,,1020.6,,1.0,,,9.0,,,0.0,0.0,,,3.8,,,,,
271,∫¿»≠,2024-01-04 16:00,5.4,,,,2.4,,200.0,,43.0,,3.8,-6.2,981.1,,1020.6,,1.0,,,9.0,,,0.0,0.0,,,0.8,,,,,
271,∫¿»≠,2024-01-04 17:00,4.0,,,,1.1,,270.0,,47.0,,3.8,-6.3,981.3,,1021.0,,0.5,,,9.0,,,0.0,0.0,,,0.1,,,,,
271,∫¿»≠,2024-01-04 18:00,0.7,,,,0.4,,0.0,,66.0,,4.2,-4.9,981.6,,1021.9,,0.0,,,9.0,,,0.0,0.0,,,0.0,,,,,
271,∫¿»≠,2024-01-04 19:00,-0.5,,,,0.6,,340.0,,71.0,,4.2,-5.1,981.8,,1022.3,,,9.0,,9.0,,,0.0,0.0,,,-0.2,,,,,
271,∫¿»≠,2024-01-04 20:00,-1.8,,,,0.2,,0.0,,83.0,,4.4,-4.3,982.2,,1022.9,,,9.0,,9.0,,,0.0,0.0,,,-0.4,,,,,
271,∫¿»≠,2024-01-04 21:00,-2.3,,,,0.2,,0.0,,84.0,,4.3,-4.6,982.4,,1023.2,,,9.0,,9.0,,,0.0,0.0,,,-0.6,,,,,
271,∫¿»≠,2024-01-04 22:00,-2.9,,,,0.4,,0.0,,88.0,,4.3,-4.6,981.9,,1022.8,,,9.0,,9.0,,,0.0,0.0,,,-0.9,,,,,
271,∫¿»≠,2024-01-04 23:00,-3.2,,,,0.1,,0.0,,90.0,,4.3,-4.6,981.8,,1022.7,,,9.0,,9.0,,,0.0,0.0,,,-1.2,,,,,
271,∫¿»≠,2024-01-05 00:00,-3.4,,,,0.3,,0.0,,90.0,,4.3,-4.8,981.6,,1022.5,,,9.0,,9.0,,,0.0,0.0,,,-1.4,,,,,
271,∫¿»≠,2024-01-05 01:00,-4.0,,,,0.1,,0.0,,91.0,,4.2,-5.2,981.5,,1022.5,,,9.0,,9.0,,,0.0,0.0,,,-1.8,,,,,
271,∫¿»≠,2024-01-05 02:00,-4.0,,,,0.2,,0.0,,92.0,,4.2,-5.1,981.0,,1022.0,,,9.0,,9.0,,,0.0,0.0,,,-2.0,,,,,
271,∫¿»≠,2024-01-05 03:00,-4.4,,,,0.1,,0.0,,92.0,,4.1,-5.5,981.1,,1022.2,,,9.0,,9.0,,,6.0,0.0,,,-2.3,,,,,
271,∫¿»≠,2024-01-05 04:00,-4.3,,,,0.2,,0.0,,92.0,,4.1,-5.4,980.7,,1021.8,,,9.0,,9.0,,,6.0,1.0,,12.0,-2.4,,,,,
271,∫¿»≠,2024-01-05 05:00,-4.3,,,,0.3,,0.0,,93.0,,4.2,-5.2,980.4,,1021.4,,,9.0,,9.0,,,4.0,0.0,,,-2.5,,,,,
271,∫¿»≠,2024-01-05 06:00,-4.1,,,,0.5,,360.0,,93.0,,4.2,-5.0,980.4,,1021.4,,,9.0,,9.0,,,0.0,0.0,,,-2.8,,,,,
271,∫¿»≠,2024-01-05 07:00,-2.4,,,,0.4,,0.0,,94.0,,4.8,-3.2,980.8,,1021.5,,,9.0,,9.0,,,0.0,0.0,,,-1.6,,,,,
271,∫¿»≠,2024-01-05 08:00,-0.5,,,,0.2,,0.0,,94.0,,5.6,-1.3,980.9,,1021.4,,0.0,,,9.0,,,0.0,0.0,,,-0.8,,,,,
271,∫¿»≠,2024-01-05 09:00,0.8,,,,0.1,,0.0,,91.0,,5.9,-0.5,981.2,,1021.5,,0.0,,,9.0,,,9.0,9.0,,10.0,-0.2,,,,,
271,∫¿»≠,2024-01-05 10:00,1.5,,,,0.2,,0.0,,91.0,,6.2,0.1,981.5,,1021.6,,0.0,,,9.0,,,10.0,10.0,,9.0,0.0,,,,,
271,∫¿»≠,2024-01-05 11:00,4.6,,,,2.1,,180.0,,77.0,,6.5,0.9,981.4,,1021.1,,0.0,,,9.0,,,9.0,9.0,,10.0,0.3,,,,,
271,∫¿»≠,2024-01-05 12:00,6.2,,,,2.6,,180.0,,71.0,,6.7,1.3,980.6,,1020.0,,0.1,,,9.0,,,9.0,9.0,,9.0,0.6,,,,,
271,∫¿»≠,2024-01-05 13:00,7.2,,,,2.3,,180.0,,66.0,,6.7,1.2,979.8,,1019.0,,0.2,,,9.0,,,9.0,9.0,,9.0,1.4,,,,,
271,∫¿»≠,2024-01-05 14:00,8.7,,,,2.4,,230.0,,57.0,,6.4,0.6,979.1,,1018.0,,0.7,,,9.0,,,9.0,9.0,,10.0,5.0,,,,,
271,∫¿»≠,2024-01-05 15:00,8.4,,,,3.2,,250.0,,53.0,,5.8,-0.6,979.0,,1017.9,,0.6,,,9.0,,,6.0,2.0,,11.0,3.8,,,,,
271,∫¿»≠,2024-01-05 16:00,8.4,,,,1.6,,270.0,,54.0,,6.0,-0.3,979.1,,1018.0,,0.8,,,9.0,,,6.0,2.0,,12.0,2.8,,,,,
271,∫¿»≠,2024-01-05 17:00,7.3,,,,1.5,,230.0,,57.0,,5.8,-0.6,979.5,,1018.6,,0.4,,,9.0,,,4.0,4.0,,12.0,1.0,,,,,
271,∫¿»≠,2024-01-05 18:00,3.4,,,,1.6,,340.0,,74.0,,5.8,-0.8,979.7,,1019.4,,0.0,,,9.0,,,0.0,0.0,,,0.1,,,,,
271,∫¿»≠,2024-01-05 19:00,1.4,,,,1.4,,340.0,,84.0,,5.7,-1.0,980.0,,1020.1,,,9.0,,9.0,,,0.0,0.0,,,0.1,,,,,
271,∫¿»≠,2024-01-05 20:00,0.5,,,,0.2,,0.0,,89.0,,5.6,-1.1,980.2,,1020.5,,,9.0,,9.0,,,1.0,1.0,,13.0,0.1,,,,,
271,∫¿»≠,2024-01-05 21:00,0.0,,,,0.5,,340.0,,91.0,,5.6,-1.2,980.2,,1020.6,,,9.0,,9.0,,,0.0,0.0,,,0.0,,,,,
271,∫¿»≠,2024-01-05 22:00,-0.6,,,,0.1,,0.0,,94.0,,5.5,-1.4,980.2,,1020.7,,,9.0,,9.0,,,0.0,0.0,,,-0.1,,,,,
271,∫¿»≠,2024-01-05 23:00,-1.1,,,,0.3,,0.0,,95.0,,5.4,-1.8,980.3,,1020.8,,,9.0,,9.0,,,0.0,0.0,,,-0.2,,,,,
271,∫¿»≠,2024-01-06 00:00,-1.3,,,,0.2,,0.0,,95.0,,5.3,-2.0,980.1,,1020.6,,,9.0,,9.0,,,0.0,0.0,,,-0.4,,,,,
271,∫¿»≠,2024-01-06 01:00,-2.1,,,,0.2,,0.0,,95.0,,5.0,-2.7,979.9,,1020.6,,,9.0,,9.0,,,0.0,0.0,,,-0.6,,,,,
271,∫¿»≠,2024-01-06 02:00,-2.4,,,,0.3,,0.0,,95.0,,4.9,-3.0,980.1,,1020.8,,,9.0,,9.0,,,0.0,0.0,,,-0.8,,,,,
271,∫¿»≠,2024-01-06 03:00,-2.5,,,,0.5,,180.0,,96.0,,4.9,-3.0,980.2,,1020.9,,,9.0,,9.0,,,0.0,0.0,,,-1.1,,,,,
271,∫¿»≠,2024-01-06 04:00,-3.1,,,,0.3,,0.0,,95.0,,4.6,-3.7,980.0,,1020.8,,,9.0,,9.0,,,0.0,0.0,,,-1.5,,,,,
271,∫¿»≠,2024-01-06 05:00,-3.3,,,,0.2,,0.0,,95.0,,4.6,-3.9,979.9,,1020.8,,,9.0,,9.0,,,0.0,0.0,,,-1.9,,,,,
271,∫¿»≠,2024-01-06 06:00,-3.7,,,,0.3,,0.0,,95.0,,4.4,-4.3,980.3,,1021.2,,,9.0,,9.0,,,0.0,0.0,,,-2.3,,,,,
271,∫¿»≠,2024-01-06 07:00,-4.0,,,,0.9,,180.0,,95.0,,4.3,-4.6,980.6,,1021.6,,,9.0,,9.0,,,0.0,0.0,,,-2.6,,,,,
271,∫¿»≠,2024-01-06 08:00,-4.3,,,,0.8,,180.0,,94.0,,4.2,-5.1,981.2,,1022.3,,0.0,,,9.0,,,0.0,0.0,,,-2.8,,,,,
271,∫¿»≠,2024-01-06 09:00,-2.7,,,,1.5,,160.0,,91.0,,4.6,-3.9,981.6,,1022.4,,0.9,,,9.0,,,0.0,0.0,,,-1.6,,,,,
271,∫¿»≠,2024-01-06 10:00,1.7,,,,1.4,,340.0,,65.0,,4.5,-4.1,981.4,,1021.5,,0.9,,,9.0,,,0.0,0.0,,,0.0,,,,,
